source,source_name,path_number,depth_edges,path_symbols,path_names,relationship_chain,cash_flow_chain,confidence
CRDO,Credo Technology,1,5,CRDO -> 042700.KQ -> ALAB -> BESI.AS -> CAMT -> 000660.KS,Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Camtek -> SK hynix,CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools | CAMT → 000660.KS: sells into fabs,CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ALAB pays OSAT or packaging partners | ...,medium
CAMT,Camtek,3,5,CAMT -> 000660.KS -> 042700.KQ -> CRDO -> BESI.AS -> MRVL,Camtek -> SK hynix -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Marvell Technology,CAMT → 000660.KS: sells into fabs | 000660.KS → 042700.KQ: uses HBM packaging equipment ecosystem | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → MRVL: serves AI/fabless customers,fabs/IDMs pay CAMT for equipment/materials/services | SK hynix/HBM ecosystem pays packaging equipment vendors | AI chip companies pay packaging/test providers | ...,medium
CAMT,Camtek,4,5,CAMT -> 000660.KS -> 042700.KQ -> CRDO -> BESI.AS -> 3661.TW,Camtek -> SK hynix -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Alchip Technologies,CAMT → 000660.KS: sells into fabs | 000660.KS → 042700.KQ: uses HBM packaging equipment ecosystem | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → 3661.TW: serves AI/fabless customers,fabs/IDMs pay CAMT for equipment/materials/services | SK hynix/HBM ecosystem pays packaging equipment vendors | AI chip companies pay packaging/test providers | ...,medium
CAMT,Camtek,5,5,CAMT -> 000660.KS -> 042700.KQ -> CRDO -> BESI.AS -> FORM,Camtek -> SK hynix -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> FormFactor,CAMT → 000660.KS: sells into fabs | 000660.KS → 042700.KQ: uses HBM packaging equipment ecosystem | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → FORM: uses inspection/test tools,fabs/IDMs pay CAMT for equipment/materials/services | SK hynix/HBM ecosystem pays packaging equipment vendors | AI chip companies pay packaging/test providers | ...,medium
NVMI,Nova,1,5,NVMI -> 000660.KS -> 042700.KQ -> CRDO -> BESI.AS -> ALAB,Nova -> SK hynix -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs,NVMI → 000660.KS: sells into fabs | 000660.KS → 042700.KQ: uses HBM packaging equipment ecosystem | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers,fabs/IDMs pay NVMI for equipment/materials/services | SK hynix/HBM ecosystem pays packaging equipment vendors | AI chip companies pay packaging/test providers | ...,medium
NVMI,Nova,2,5,NVMI -> 000660.KS -> 042700.KQ -> CRDO -> BESI.AS -> CAMT,Nova -> SK hynix -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Camtek,NVMI → 000660.KS: sells into fabs | 000660.KS → 042700.KQ: uses HBM packaging equipment ecosystem | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools,fabs/IDMs pay NVMI for equipment/materials/services | SK hynix/HBM ecosystem pays packaging equipment vendors | AI chip companies pay packaging/test providers | ...,medium
NVMI,Nova,3,5,NVMI -> 000660.KS -> 042700.KQ -> CRDO -> BESI.AS -> MRVL,Nova -> SK hynix -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Marvell Technology,NVMI → 000660.KS: sells into fabs | 000660.KS → 042700.KQ: uses HBM packaging equipment ecosystem | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → MRVL: serves AI/fabless customers,fabs/IDMs pay NVMI for equipment/materials/services | SK hynix/HBM ecosystem pays packaging equipment vendors | AI chip companies pay packaging/test providers | ...,medium
NVMI,Nova,4,5,NVMI -> 000660.KS -> 042700.KQ -> CRDO -> BESI.AS -> 3661.TW,Nova -> SK hynix -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Alchip Technologies,NVMI → 000660.KS: sells into fabs | 000660.KS → 042700.KQ: uses HBM packaging equipment ecosystem | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → 3661.TW: serves AI/fabless customers,fabs/IDMs pay NVMI for equipment/materials/services | SK hynix/HBM ecosystem pays packaging equipment vendors | AI chip companies pay packaging/test providers | ...,medium
NVMI,Nova,5,5,NVMI -> 000660.KS -> 042700.KQ -> CRDO -> BESI.AS -> FORM,Nova -> SK hynix -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> FormFactor,NVMI → 000660.KS: sells into fabs | 000660.KS → 042700.KQ: uses HBM packaging equipment ecosystem | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → FORM: uses inspection/test tools,fabs/IDMs pay NVMI for equipment/materials/services | SK hynix/HBM ecosystem pays packaging equipment vendors | AI chip companies pay packaging/test providers | ...,medium
MRVL,Marvell Technology,1,5,MRVL -> 042700.KQ -> CRDO -> BESI.AS -> ALAB -> AMKR,Marvell Technology -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> Amkor Technology,MRVL → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test,MRVL pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
MRVL,Marvell Technology,2,5,MRVL -> 042700.KQ -> CRDO -> BESI.AS -> ALAB -> 000660.KS,Marvell Technology -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> SK hynix,MRVL → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → 000660.KS: uses memory ecosystem,MRVL pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
MRVL,Marvell Technology,3,5,MRVL -> 042700.KQ -> CRDO -> BESI.AS -> ALAB -> FORM,Marvell Technology -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> FormFactor,MRVL → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → FORM: uses test/metrology indirectly,MRVL pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
MRVL,Marvell Technology,4,5,MRVL -> 042700.KQ -> CRDO -> BESI.AS -> ALAB -> MU,Marvell Technology -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> Micron Technology,MRVL → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → MU: uses memory ecosystem,MRVL pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
MRVL,Marvell Technology,5,5,MRVL -> 042700.KQ -> CRDO -> BESI.AS -> ALAB -> ONTO,Marvell Technology -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> Onto Innovation,MRVL → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → ONTO: uses test/metrology indirectly,MRVL pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
BESI.AS,BE Semiconductor Industries,1,5,BESI.AS -> CRDO -> 042700.KQ -> ALAB -> AMKR -> CAMT,BE Semiconductor Industries -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> Amkor Technology -> Camtek,BESI.AS → CRDO: serves AI/fabless customers | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test | AMKR → CAMT: uses inspection/test tools,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
BESI.AS,BE Semiconductor Industries,2,5,BESI.AS -> CRDO -> 042700.KQ -> ALAB -> AMKR -> NVMI,BE Semiconductor Industries -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> Amkor Technology -> Nova,BESI.AS → CRDO: serves AI/fabless customers | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test | AMKR → NVMI: uses inspection/test tools,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
BESI.AS,BE Semiconductor Industries,3,5,BESI.AS -> CRDO -> 042700.KQ -> ALAB -> AMKR -> MRVL,BE Semiconductor Industries -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> Amkor Technology -> Marvell Technology,BESI.AS → CRDO: serves AI/fabless customers | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test | AMKR → MRVL: serves AI/fabless customers,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
BESI.AS,BE Semiconductor Industries,4,5,BESI.AS -> CRDO -> 042700.KQ -> ALAB -> AMKR -> 3661.TW,BE Semiconductor Industries -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> Amkor Technology -> Alchip Technologies,BESI.AS → CRDO: serves AI/fabless customers | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test | AMKR → 3661.TW: serves AI/fabless customers,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
BESI.AS,BE Semiconductor Industries,5,5,BESI.AS -> CRDO -> 042700.KQ -> ALAB -> AMKR -> FORM,BE Semiconductor Industries -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> Amkor Technology -> FormFactor,BESI.AS → CRDO: serves AI/fabless customers | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test | AMKR → FORM: uses inspection/test tools,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
AMKR,Amkor Technology,1,5,AMKR -> CRDO -> 042700.KQ -> ALAB -> BESI.AS -> CAMT,Amkor Technology -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Camtek,AMKR → CRDO: serves AI/fabless customers | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
AMKR,Amkor Technology,2,5,AMKR -> CRDO -> 042700.KQ -> ALAB -> BESI.AS -> NVMI,Amkor Technology -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Nova,AMKR → CRDO: serves AI/fabless customers | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → NVMI: uses inspection/test tools,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
AMKR,Amkor Technology,3,5,AMKR -> CRDO -> 042700.KQ -> ALAB -> BESI.AS -> MRVL,Amkor Technology -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Marvell Technology,AMKR → CRDO: serves AI/fabless customers | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → MRVL: serves AI/fabless customers,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
AMKR,Amkor Technology,4,5,AMKR -> CRDO -> 042700.KQ -> ALAB -> BESI.AS -> 3661.TW,Amkor Technology -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Alchip Technologies,AMKR → CRDO: serves AI/fabless customers | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → 3661.TW: serves AI/fabless customers,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
AMKR,Amkor Technology,5,5,AMKR -> CRDO -> 042700.KQ -> ALAB -> BESI.AS -> FORM,Amkor Technology -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> FormFactor,AMKR → CRDO: serves AI/fabless customers | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → FORM: uses inspection/test tools,AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,medium
ASMI.AS,ASM International,1,5,ASMI.AS -> CRDO -> 042700.KQ -> ALAB -> BESI.AS -> CAMT,ASM International -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Camtek,ASMI.AS → CRDO: ecosystem dependency/adjacency | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → CAMT: uses inspection/test tools,cash flow direction depends on buyer/supplier role; disclosed amounts usually aggregated | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,mixed
ASMI.AS,ASM International,2,5,ASMI.AS -> CRDO -> 042700.KQ -> ALAB -> BESI.AS -> NVMI,ASM International -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Nova,ASMI.AS → CRDO: ecosystem dependency/adjacency | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → NVMI: uses inspection/test tools,cash flow direction depends on buyer/supplier role; disclosed amounts usually aggregated | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,mixed
ASMI.AS,ASM International,3,5,ASMI.AS -> CRDO -> 042700.KQ -> ALAB -> BESI.AS -> MRVL,ASM International -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Marvell Technology,ASMI.AS → CRDO: ecosystem dependency/adjacency | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → MRVL: serves AI/fabless customers,cash flow direction depends on buyer/supplier role; disclosed amounts usually aggregated | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,mixed
ASMI.AS,ASM International,4,5,ASMI.AS -> CRDO -> 042700.KQ -> ALAB -> BESI.AS -> 3661.TW,ASM International -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> Alchip Technologies,ASMI.AS → CRDO: ecosystem dependency/adjacency | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → 3661.TW: serves AI/fabless customers,cash flow direction depends on buyer/supplier role; disclosed amounts usually aggregated | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,mixed
ASMI.AS,ASM International,5,5,ASMI.AS -> CRDO -> 042700.KQ -> ALAB -> BESI.AS -> FORM,ASM International -> Credo Technology -> Hanmi Semiconductor -> Astera Labs -> BE Semiconductor Industries -> FormFactor,ASMI.AS → CRDO: ecosystem dependency/adjacency | CRDO → 042700.KQ: uses packaging/test | 042700.KQ → ALAB: serves AI/fabless customers | ALAB → BESI.AS: uses packaging/test | BESI.AS → FORM: uses inspection/test tools,cash flow direction depends on buyer/supplier role; disclosed amounts usually aggregated | CRDO pays OSAT or packaging partners | AI chip companies pay packaging/test providers | ...,mixed
3661.TW,Alchip Technologies,1,5,3661.TW -> 042700.KQ -> CRDO -> BESI.AS -> ALAB -> AMKR,Alchip Technologies -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> Amkor Technology,3661.TW → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → AMKR: uses packaging/test,3661.TW pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
3661.TW,Alchip Technologies,2,5,3661.TW -> 042700.KQ -> CRDO -> BESI.AS -> ALAB -> 000660.KS,Alchip Technologies -> Hanmi Semiconductor -> Credo Technology -> BE Semiconductor Industries -> Astera Labs -> SK hynix,3661.TW → 042700.KQ: uses packaging/test | 042700.KQ → CRDO: serves AI/fabless customers | CRDO → BESI.AS: uses packaging/test | BESI.AS → ALAB: serves AI/fabless customers | ALAB → 000660.KS: uses memory ecosystem,3661.TW pays OSAT or packaging partners | AI chip companies pay packaging/test providers | CRDO pays OSAT or packaging partners | ...,medium
