rank,group,category,amount_2025_b,share_pct_total,trend_yoy_pct_model,confidence,reasoning,source_tags
15,Networking & interconnect,800G AI NICs,4.562164948453608,1.5309278350515463,86.0,High,Higher-speed NICs become mandatory as cluster size and model parallelism rise.,S3 S5 S13
16,HBM,HBM for China-compliant systems,4.470000000000001,1.5000000000000002,80.0,High,Export restrictions constrain the highest-end attach rates in some China-facing systems.,S1 S2 S6 S7 S12
17,Accelerators & compute,OAM accelerator modules,4.371590697674417,1.466976744186046,40.0,Medium,"OAM remains important for scale-up systems, though spend is being re-tilted toward integrated rack systems.",S1 S2 S3 S4 S12
18,Host CPUs & support silicon,x86 host CPUs for AI training nodes,4.35825,1.4625,32.0,Medium,"Accelerated servers still need powerful hosts for orchestration, preprocessing, and system balance.",S3 S4 S12
19,"Advanced packaging, substrates & test",CoWoS / 2.5D packaging services,4.2614,1.43,35.0,Medium,Advanced package capacity remains a chokepoint for high-end AI silicon.,S2 S7 S12
20,Standard memory,High-capacity DDR5 RDIMMs,3.8442,1.29,50.0,Medium,"CPU-side memory remains essential for data preparation, orchestration, and mixed workloads around the accelerator cluster.",S2 S6 S12
21,Accelerators & compute,SXM accelerator modules,3.796381395348836,1.2739534883720927,38.0,Medium,"Legacy high-end module formats still matter, but roadmap mix is shifting toward newer rack-level designs.",S1 S2 S3 S4 S12
22,Networking & interconnect,400G AI NICs,3.7326804123711343,1.2525773195876289,46.0,High,400G still ships heavily but is being displaced at the frontier by 800G designs.,S3 S5 S13
23,Storage,High-performance NVMe SSDs for training,3.576,1.2,30.0,Medium,Training clusters need very fast local and shared storage for data staging and checkpointing.,S8 S9 S10 S11
24,HBM,HBM4 early sampling and pilots,3.4766666666666666,1.1666666666666667,200.0,High,Early HBM4 work is small in absolute dollars but growing explosively as next-gen platforms prepare.,S1 S2 S6 S7 S12
25,Host CPUs & support silicon,x86 host CPUs for AI inference nodes,3.2407499999999994,1.0874999999999997,38.0,Medium,Inference servers often use more CPU-side orchestration than pure training boxes.,S3 S4 S12
26,HBM,Capacity-reserved HBM wafer starts,3.228333333333334,1.0833333333333335,125.0,Medium,"Reservation and allocation behavior remains important in a tight market, but growth is slower than delivered stacks.",S1 S2 S6 S7 S12
27,Accelerators & compute,PCIe accelerator cards,3.2211720930232546,1.0809302325581391,26.0,Medium,"PCIe add-in cards stay relevant for midrange deployment, but they are losing share to denser AI-server formats.",S1 S2 S3 S4 S12
28,"Power, cooling, mechanicals & integration",High-density power supplies,3.1290000000000004,1.05,30.0,Medium,"Power density climbs with accelerator racks, lifting value per node even without explosive unit growth.",S2 S3 S13
29,Optics & photonics,800G optical transceivers,3.0843000000000003,1.0350000000000001,62.0,Medium,The shift to denser AI fabrics lifts transceiver value directly as links scale up.,S5 S13
30,Storage,Capacity NVMe SSDs for inference,3.0396,1.02,26.0,Medium,Inference fleets increasingly favor dense flash for fast retrieval and low-latency serving.,S8 S9 S10 S11
31,Standard memory,Standard DDR5 RDIMMs,2.9502,0.9900000000000001,42.0,Medium,Standard DIMMs are still widely consumed but are less supply-constrained than HBM.,S2 S6 S12
32,"Advanced packaging, substrates & test",3D-IC / 3.5D packaging services,2.7863,0.935,60.0,Medium,More vertically integrated package formats are growing from a smaller base.,S2 S7 S12
33,Networking & interconnect,SmartNICs and DPUs,2.7649484536082474,0.9278350515463918,52.0,High,"Infrastructure offload remains valuable for storage, security, and datapath efficiency.",S3 S5 S13
34,Accelerators & compute,Edge inference accelerators,2.76100465116279,0.9265116279069766,30.0,Medium,"Edge AI spend is growing, but it is much smaller than datacenter-scale procurement.",S1 S2 S3 S4 S12
35,HBM,Pre-packaged HBM inventory buffers,2.7316666666666665,0.9166666666666666,100.0,Low,"Inventory buffers exist because lead times are strategic, though spend here grows slower than end demand.",S1 S2 S6 S7 S12
36,Host CPUs & support silicon,Arm host CPUs for AI nodes,2.6819999999999995,0.8999999999999998,44.0,Medium,Arm server CPU adoption is increasing in cloud environments where power efficiency and platform control matter.,S3 S4 S12
37,Networking & interconnect,102.4T switch ASICs,2.626701030927835,0.8814432989690723,90.0,High,Very large switch silicon captures outsized value in the newest scale-out AI fabrics.,S3 S5 S13
38,Accelerators & compute,Scale-up fabric ASICs,2.5309209302325577,0.8493023255813952,73.0,Medium,"As clusters grow, scale-up fabrics become a direct spend line rather than a design afterthought.",S1 S2 S3 S4 S12
39,Storage,QLC SSDs for vector / retrieval stores,2.5032,0.84,50.0,Medium,Retrieval-augmented systems and AI data services make cheaper high-capacity flash more attractive.,S8 S9 S10 S11
40,Optics & photonics,1.6T optical transceivers,2.4137999999999997,0.8099999999999999,107.0,Medium,1.6T is still early but is one of the fastest-ramping premium optical categories.,S5 S13
41,"Power, cooling, mechanicals & integration",Voltage regulation and power shelves,2.3989000000000003,0.8050000000000002,35.0,Medium,Rack-scale AI systems need much heavier in-rack power management than prior server generations.,S2 S3 S13
42,Host CPUs & support silicon,General server CPUs for control planes,2.3467499999999997,0.7874999999999999,20.0,Medium,"Control-plane workloads grow, but they are smaller and lower-ASP than main host CPU sockets.",S3 S4 S12
43,Standard memory,LPDDR / GDDR for midrange AI systems,2.235,0.75,35.0,Medium,Midrange and specialized systems use graphics-style memory where cost or form factor matters.,S2 S6 S12
44,"Advanced packaging, substrates & test",ABF substrates,2.21265,0.7425,30.0,Medium,Premium substrates remain a necessary enabler for complex accelerator packages.,S2 S7 S12
45,Host CPUs & support silicon,CXL controller silicon,2.1232499999999996,0.7124999999999998,50.0,Medium,CXL is still early but becoming more relevant as memory pooling and expansion move from concept to deployment.,S3 S4 S12
46,Networking & interconnect,51.2T switch ASICs,2.0737113402061857,0.6958762886597939,36.0,Medium,"51.2T remains a major installed base, but leading-edge demand is moving upward.",S3 S5 S13
47,Accelerators & compute,Accelerator bridge silicon,2.0707534883720924,0.6948837209302323,60.0,Medium,Bridge silicon expands with multi-die and multi-accelerator packaging complexity.,S1 S2 S3 S4 S12
48,"Power, cooling, mechanicals & integration",Liquid cooling cold plates / manifolds,1.9817000000000002,0.665,50.0,Medium,Liquid cooling adoption rises as rack power density breaks air-cooling limits.,S2 S3 S13
49,Standard memory,CXL memory expansion modules,1.9667999999999999,0.66,63.0,Medium,"Disaggregated memory is still early, but it is one of the faster-growing memory-adjacent categories.",S2 S6 S12
50,Networking & interconnect,Low-latency fabric controllers,1.935463917525773,0.6494845360824741,50.0,Medium,"AI networking prioritizes low jitter and lossless performance, supporting premium fabric silicon.",S3 S5 S13
51,Optics & photonics,Optical DSPs,1.8774000000000002,0.6300000000000001,60.0,Medium,Higher-speed optics increasingly rely on advanced DSP content.,S5 S13
52,Storage,Boot and local scratch SSDs,1.8773999999999997,0.6299999999999999,18.0,Medium,"Every system needs boot and scratch storage, but this is a lower-ASP part of the stack.",S8 S9 S10 S11
53,Storage,Nearline HDDs for AI data lakes,1.788,0.6,22.0,Medium,HDDs still dominate the cold and warm layers of large AI data repositories.,S8 S9 S10 S11
54,Host CPUs & support silicon,Chipsets and I/O hubs,1.7879999999999998,0.6,22.0,Medium,Support logic scales with server volume but does not enjoy the same pricing power as accelerators or memory.,S3 S4 S12
55,HBM,Legacy HBM2e/HBM3 support,1.7383333333333333,0.5833333333333334,40.0,Low,"Older HBM generations still ship but are being displaced quickly by newer, denser stacks.",S1 S2 S6 S7 S12
56,Accelerators & compute,Compute chiplet sets,1.7256279069767437,0.5790697674418603,66.0,Medium,"Chipletization improves yield and design modularity, making it a larger share of advanced compute value.",S1 S2 S3 S4 S12
57,Host CPUs & support silicon,Baseboard management controllers,1.6762499999999998,0.5624999999999999,24.0,Medium,"Every server still needs management and telemetry, but these controllers are a modest share of system value.",S3 S4 S12
58,Networking & interconnect,Ethernet retimers,1.6589690721649486,0.5567010309278351,42.0,Medium,"Signal integrity spending rises with lane speed, though retimers remain a supporting category.",S3 S5 S13
59,"Advanced packaging, substrates & test",Silicon interposers,1.6390000000000002,0.55,40.0,Medium,Interposer demand rises with HBM attach and multi-die packaging.,S2 S7 S12
60,Standard memory,Pooled memory appliances,1.6091999999999997,0.5399999999999999,59.0,Medium,Shared-memory designs are emerging where large inference state and data locality matter.,S2 S6 S12
61,"Power, cooling, mechanicals & integration",In-rack CDUs and pump loops,1.5645000000000002,0.525,54.0,Medium,CDUs and pump loops grow quickly once operators adopt liquid cooling at cluster scale.,S2 S3 S13
62,Networking & interconnect,PCIe Gen6 switches,1.5207216494845361,0.5103092783505155,48.0,Medium,PCIe fabric expansion matters more as accelerator and storage topologies grow denser.,S3 S5 S13
63,Storage,SSD controllers and storage silicon,1.5198,0.51,20.0,Medium,Controller spend follows SSD volumes and enterprise mix shifts.,S8 S9 S10 S11
64,Optics & photonics,Co-packaged optics modules,1.4751,0.49500000000000005,84.0,Medium,CPO moves from demonstration to meaningful spend where power and reach constraints tighten.,S5 S13
65,"Advanced packaging, substrates & test",Package test and burn-in,1.4751,0.49500000000000005,55.0,Medium,"AI parts demand much heavier test intensity because of performance, yield, and thermal requirements.",S2 S7 S12
66,Host CPUs & support silicon,Boot and service processors,1.45275,0.4875,17.0,Low,These processors are operationally necessary but economically small.,S3 S4 S12
67,Standard memory,DIMM PMICs and buffers,1.4304,0.48,35.0,Medium,Module-side power and control silicon rises with server memory density but remains a support category.,S2 S6 S12
68,Accelerators & compute,I/O chiplet sets,1.380502325581395,0.4632558139534883,56.0,Low,I/O chiplets benefit from the same multi-die trend but at a lower dollar intensity than compute tiles.,S1 S2 S3 S4 S12
69,"Power, cooling, mechanicals & integration","Chassis, racks, and final integration",1.3559000000000003,0.4550000000000001,25.0,Medium,"Mechanical integration grows with system complexity, but it still trails silicon and memory in value capture.",S2 S3 S13
70,Host CPUs & support silicon,Memory-expansion controllers,1.3409999999999997,0.4499999999999999,40.0,Low,More complex memory topologies make specialized control logic more valuable.,S3 S4 S12
71,Host CPUs & support silicon,Replacement and buffer CPU inventory,1.3409999999999997,0.4499999999999999,13.0,Low,"Buffers are prudent in a tight market, but they are not the core driver of silicon consumption.",S3 S4 S12
72,Standard memory,Low-latency memory for inference caches,1.2516,0.42,55.0,Medium,Inference-serving architectures increasingly optimize around cache hit rates and low-latency retrieval.,S2 S6 S12
73,Storage,DPU-attached storage modules,1.2516,0.42,35.0,Medium,Data-path acceleration is increasingly pulled closer to storage in AI-oriented architectures.,S8 S9 S10 S11
74,Networking & interconnect,PCIe Gen6 retimers,1.2442268041237114,0.41752577319587636,44.0,Medium,Retimers benefit from the same speed transition but at smaller absolute value.,S3 S5 S13
75,Optics & photonics,VCSEL / EML laser components,1.2068999999999999,0.40499999999999997,50.0,Medium,Laser component demand follows module volumes and speed transitions.,S5 S13
76,"Advanced packaging, substrates & test",Wafer probe and characterization,1.1473000000000002,0.38500000000000006,40.0,Medium,Probe intensity rises with die complexity and qualification cycles.,S2 S7 S12
77,Networking & interconnect,Scale-out network interface silicon,1.105979381443299,0.3711340206185567,55.0,Medium,"Interface silicon is needed everywhere, but premium value concentrates in NICs and switches.",S3 S5 S13
78,Storage,AI-native storage appliances,1.0728,0.36,40.0,Low,AI-specific storage systems are growing from a small base as vendors bundle performance around retrieval workloads.,S8 S9 S10 S11
79,Optics & photonics,Photodiodes and receiver arrays,1.0728,0.36,44.0,Medium,Receiver-side optics scale with transceiver and photonics deployment.,S5 S13
80,Standard memory,Server-memory PCB and module materials,1.0728,0.36,30.0,Low,"Materials benefit from module volume, but pricing is less explosive than primary memory silicon.",S2 S6 S12
81,Networking & interconnect,Copper direct-attach cables,1.050680412371134,0.35257731958762883,32.0,Medium,"Copper remains useful at short reaches, though optics and active cables take more of the premium mix.",S3 S5 S13
82,Accelerators & compute,Accelerator respins and yield buffer,1.0353767441860462,0.34744186046511616,25.0,Low,"Respins and yield buffers rise when ramps are messy, but they are not the main event once volume stabilizes.",S1 S2 S3 S4 S12
83,HBM,Long-tail custom HBM configurations,0.9933333333333334,0.33333333333333337,110.0,Low,"Custom or unusual stack configurations matter at the margin, not at center scale.",S1 S2 S6 S7 S12
84,"Advanced packaging, substrates & test",Chip-on-wafer bonding materials,0.9834,0.33,30.0,Medium,Bonding materials scale with advanced-packaging throughput.,S2 S7 S12
85,Networking & interconnect,Active electrical cables,0.9677319587628865,0.32474226804123707,42.0,Medium,AECs grow with rack density but remain below transceiver-class dollar intensity.,S3 S5 S13
86,Optics & photonics,Silicon photonics engines,0.9387000000000001,0.31500000000000006,70.0,Medium,Integrated photonics gains value as bandwidth density and power efficiency matter more.,S5 S13
87,Standard memory,Legacy DDR4 support inventory,0.894,0.3,-10.0,Low,"Legacy memory stays in service where platforms lag, but strategic spend is moving to newer standards.",S2 S6 S12
88,Networking & interconnect,Backplane and midplane interconnects,0.8294845360824743,0.27835051546391754,36.0,Low,"Backplane complexity increases, but this spend grows slower than active networking silicon.",S3 S5 S13
89,"Advanced packaging, substrates & test",Advanced package assembly,0.8195000000000001,0.275,25.0,Low,"Assembly volume grows, but pricing power is lower than bottleneck services.",S2 S7 S12
90,Storage,Spare and replacement drives,0.7152,0.24,8.0,Low,Spare pools are operationally important but not a strategic growth bucket.,S8 S9 S10 S11
91,Accelerators & compute,Long-tail specialty accelerators,0.6902511627906975,0.23162790697674415,18.0,Low,"Specialized or niche AI accelerators exist, but broad hyperscaler demand concentrates value elsewhere.",S1 S2 S3 S4 S12
92,Optics & photonics,Optical couplers / waveguides,0.6705000000000001,0.22500000000000003,40.0,Low,Passive optical components expand with system complexity but stay a secondary spend line.,S5 S13
93,"Advanced packaging, substrates & test",Thermal lids and integrated heat spreaders,0.6556000000000001,0.22,20.0,Low,Thermal hardware scales with package density but is not the core value driver.,S2 S7 S12
94,Standard memory,Long-tail specialty memory modules,0.6258,0.21,17.0,Low,"Niche modules exist, though most value is concentrated in mainstream server memory formats.",S2 S6 S12
95,Networking & interconnect,Timing / clock ICs for AI fabrics,0.5529896907216495,0.18556701030927836,20.0,Low,Timing components are critical but small in value relative to headline fabric silicon.,S3 S5 S13
96,Storage,Archive / object-storage media,0.5364,0.18,12.0,Low,"Archival layers remain necessary, though faster storage tiers capture more current spend.",S8 S9 S10 S11
97,"Advanced packaging, substrates & test",Yield-learning / rework capacity,0.40975000000000006,0.1375,10.0,Low,"Rework and learning capacity matter most during ramps, then become a smaller share.",S2 S7 S12
98,Optics & photonics,Fiber connectivity and patching,0.4023,0.135,32.0,Low,Physical fiber plant is necessary but captures less value than active optical components.,S5 S13
99,Optics & photonics,Next-gen 3.2T optical readiness inventory,0.2682,0.09,100.0,Low,"Readiness spending is still small, but the next speed transition is already pulling forward work.",S5 S13
100,Networking & interconnect,Long-tail network spares and buffers,0.19354639175257732,0.06494845360824741,10.0,Low,"Long-tail support items matter operationally, not strategically.",S3 S5 S13
