company,ticker_display,yf_symbol,country,category,confidence,evidence,x_signal,position,risk,hormuz,ai_sensitivity,thesis,bear,drop,30d,90d,120d,180d,evidence_titles,evidence_urls,confidence_note,price,ret_90,vol_90,market_cap,category_label
AMD,AMD,AMD,United States,compute_silicon,A,"['j_cpu_bottleneck', 'j_custom_asic_quote']",Named in Jukan's CPU-bottleneck and custom-ASIC thread clusters.,CPU and accelerator challenger,7,3,8,"AMD is a CPU and accelerator challenger. The X thesis is that it wins if AI training and inference budgets stay elevated and the architecture remains on the critical path, and named in jukan's cpu-bottleneck and custom-asic thread clusters.","Bear case: AMD gets hit if hyperscaler capex rotates away, export controls bite, or custom-silicon mix shifts against it. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if a product slip, weak attach rates, or a sustained capex digestion cycle.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on the 2026 server-CPU bottleneck; Public quote of Jukan's custom ASIC / TPU thread,https://x.com/jukan05/status/2011429601344678241; https://x.com/muhzuhair/status/2032484686228361482,Direct in-range mention or direct quote-tweet recovery.,234.3000030517578,0.11560802916563229,0.6436842619779538,381988962304.0,Compute Silicon
Intel,INTC,INTC,United States,compute_silicon,A,"['z_intc', 'j_cpu_bottleneck', 'j_custom_asic_quote']","Both accounts discussed Intel: Zephyr as a strategic cautionary tale, Jukan as part of the 2026 CPU bottleneck map.",turnaround CPU/foundry incumbent,8,3,6,"Intel is a turnaround CPU/foundry incumbent. The X thesis is that it wins if AI training and inference budgets stay elevated and the architecture remains on the critical path, and both accounts discussed intel: zephyr as a strategic cautionary tale, jukan as part of the 2026 cpu bottleneck map.","Bear case: Intel gets hit if hyperscaler capex rotates away, export controls bite, or custom-silicon mix shifts against it. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if a product slip, weak attach rates, or a sustained capex digestion cycle.",Neutral,Neutral,Moderately bullish,Moderately bullish,Zephyr on Intel's strategic miss; Jukan on the 2026 server-CPU bottleneck; Public quote of Jukan's custom ASIC / TPU thread,https://x.com/zephyr_z9/status/1965455729944658305; https://x.com/jukan05/status/2011429601344678241; https://x.com/muhzuhair/status/2032484686228361482,Direct in-range mention or direct quote-tweet recovery.,60.779998779296875,0.4257564451424982,0.810443535522776,305202102272.0,Compute Silicon
Arm,ARM,ARM,United States / UK origin,compute_silicon,A,['j_cpu_bottleneck'],Named in Jukan's server-CPU bottleneck thread as the IP layer that matters if CPU scarcity persists.,CPU-IP tollbooth for custom silicon,7,2,8,"Arm is a CPU-IP tollbooth for custom silicon. The X thesis is that it wins if AI training and inference budgets stay elevated and the architecture remains on the critical path, and named in jukan's server-cpu bottleneck thread as the ip layer that matters if cpu scarcity persists.","Bear case: Arm gets hit if hyperscaler capex rotates away, export controls bite, or custom-silicon mix shifts against it. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if a product slip, weak attach rates, or a sustained capex digestion cycle.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Jukan on the 2026 server-CPU bottleneck,https://x.com/jukan05/status/2011429601344678241,Direct in-range mention or direct quote-tweet recovery.,149.72000122070312,0.29426003480053864,0.6281891866703911,159002427392.0,Compute Silicon
Teradyne,TER,TER,United States,equipment,A,['z_kyocera_analog'],Zephyr said he was watching the Teradyne call for a confirmation that would imply more upside.,test equipment beneficiary of memory and advanced packaging complexity,6,3,7,"Teradyne is a test equipment beneficiary of memory and advanced packaging complexity. The X thesis is that it wins if AI capex continues to pull forward tool demand in memory, hybrid bonding, inspection, and test, and zephyr said he was watching the teradyne call for a confirmation that would imply more upside.",Bear case: Teradyne loses momentum quickly if customers pause orders after the current buildout wave. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if wafer-fab-equipment digestion or a delayed transition to the next packaging/memory node.,Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Zephyr / Collyer Bridge on analog and ceramic bottlenecks,https://www.collyerbridge.com/post/apac-wrap-kyocera-6971-t-micron-mu-teradyne-ter-intel-intc-apple-aapl-and-more,Direct in-range mention or direct quote-tweet recovery.,363.4100036621094,0.6334502455994324,0.6970209028046617,56895262720.0,Equipment
Lumentum,LITE,LITE,United States,networking_optics,A,['z_lite_crdo'],Zephyr used Lumentum's earnings call to frame where optical demand and CPO risk are heading.,optics and laser supplier for AI networking,8,4,8,"Lumentum is a optics and laser supplier for AI networking. The X thesis is that it benefits from denser clusters, more optical content, and scale-out networking intensity, and zephyr used lumentum's earnings call to frame where optical demand and cpo risk are heading.","Bear case: Lumentum gets pressured if inventory builds, copper solutions hold share longer, or CPO gets internally integrated elsewhere. That matters because the current buildout has pulled forward a lot of expectations.",Drop thesis trigger: sell or de-risk if a clear architecture shift that bypasses its layer of the interconnect stack.,Moderately bullish,Moderately bullish,Neutral,Neutral,Zephyr on Lumentum earnings and Credo/CPO risk,https://x.com/zephyr_z9/status/2019066607583084550,Direct in-range mention or direct quote-tweet recovery.,884.1599731445312,1.2504580588372187,1.046720499244883,63058337792.0,Networking Optics
Credo,CRDO,CRDO,United States,networking_optics,A,['z_lite_crdo'],Zephyr explicitly flagged CRDO as exposed if Rubin Ultra moves more aggressively toward CPO.,AEC and connectivity specialist with architecture risk,8,4,8,"Credo is a AEC and connectivity specialist with architecture risk. The X thesis is that it benefits from denser clusters, more optical content, and scale-out networking intensity, and zephyr explicitly flagged crdo as exposed if rubin ultra moves more aggressively toward cpo.","Bear case: Credo gets pressured if inventory builds, copper solutions hold share longer, or CPO gets internally integrated elsewhere. That matters because the current buildout has pulled forward a lot of expectations.",Drop thesis trigger: sell or de-risk if a clear architecture shift that bypasses its layer of the interconnect stack.,Moderately bullish,Moderately bullish,Neutral,Neutral,Zephyr on Lumentum earnings and Credo/CPO risk,https://x.com/zephyr_z9/status/2019066607583084550,Direct in-range mention or direct quote-tweet recovery.,107.6449966430664,-0.2365603074959829,0.8890544375182247,19855112192.0,Networking Optics
Adobe,ADBE,ADBE,United States,software_incumbent,A,['z_adbe'],Zephyr used Adobe as a bearish example of a legacy software name struggling to turn AI into a real moat.,AI-exposed software incumbent,6,1,4,"Adobe is a AI-exposed software incumbent. The X thesis is that it works if the company successfully turns AI features into durable pricing power, and zephyr used adobe as a bearish example of a legacy software name struggling to turn ai into a real moat.",Bear case: Adobe unwinds if model-native competitors keep eroding product advantage. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if continued monetization misses and further evidence of product displacement.,Neutral,Neutral,Neutral,Moderately bullish,Zephyr on Adobe's weak AI positioning,https://x.com/zephyr_z9/status/1967341335649644905,Direct in-range mention or direct quote-tweet recovery.,228.82000732421875,-0.32321797339997316,0.37015392339375786,93271400448.0,Software Incumbent
ASML,ASML,ASML,Netherlands,equipment,B,"['tsmc_official', 'trend_ai_models']",First-order EUV/lithography expansion from the same advanced-node bottleneck both accounts repeatedly centered.,EUV lithography tollbooth,5,3,8,"ASML is a EUV lithography tollbooth. The X thesis is that it wins if AI capex continues to pull forward tool demand in memory, hybrid bonding, inspection, and test, and first-order euv/lithography expansion from the same advanced-node bottleneck both accounts repeatedly centered.",Bear case: ASML loses momentum quickly if customers pause orders after the current buildout wave. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if wafer-fab-equipment digestion or a delayed transition to the next packaging/memory node.,Moderately bullish,Moderately bullish,Moderately bullish,Neutral,TSMC Q4 2025 conference call; SemiAnalysis on large-scale inference economics,https://investor.tsmc.com/english/quarterly-results/2025/q4; https://semianalysis.com/,"Named in the same in-range tweet thread, attached note, or public quote of the thread.",1450.0,0.18033003213752186,0.4678489334690048,569355075584.0,Equipment
CATL,300750.SZ,300750.SZ,China,industrial_battery,A,['z_catl'],Zephyr's cleanest China industrial quality call in the period.,battery and industrial-manufacturing leader,7,6,5,"CATL is a battery and industrial-manufacturing leader. The X thesis is that it wins if industrial AI, robotics, and EV-scale manufacturing keep compounding process advantages, and zephyr's cleanest china industrial quality call in the period.","Bear case: CATL is exposed to China policy, export controls, and any renewed battery/EV oversupply. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if a major pricing war, subsidy rollback, or escalation in China trade frictions.",Moderately bullish,Moderately bullish,Neutral,Neutral,Zephyr on CATL and AI-enabled industrial R&D,https://x.com/zephyr_z9/status/2013718720242126922,Direct in-range mention or direct quote-tweet recovery.,391.29998779296875,0.05954344691382518,0.30825623245229233,1800947367936.0,Industrial Battery
Phison,8299.TWO,8299.TWO,Taiwan,controller_storage,A,['z_nand'],Zephyr explicitly preferred Phison to SIMO in the same NAND-controller discussion.,merchant NAND-controller and storage-IP supplier,7,5,7,"Phison is a merchant NAND-controller and storage-IP supplier. The X thesis is that it wins when NAND prices and enterprise SSD demand re-rate and merchant-controller leverage matters again, and zephyr explicitly preferred phison to simo in the same nand-controller discussion.",Bear case: Phison rolls over if OEM inventories stay heavy or NAND price momentum fades. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if an inventory reset plus weakening controller attach or customer concentration shocks.,Bullish,Bullish,Moderately bullish,Neutral,"Zephyr on SIMO, Phison, NAND pricing, and customer exposure",https://x.com/zephyr_z9/status/2024157861027405978,Direct in-range mention or direct quote-tweet recovery.,1725.0,0.33720930232558133,0.8431799784833514,352006995968.0,Controller Storage
Samsung Electronics,005930.KS,005930.KS,South Korea,memory,A,"['j_samsung_lta', 'j_hbm4', 'j_onto']","Jukan repeatedly framed Samsung as the swing supplier in HBM4, long-term memory contracts, and hybrid-bonding inspection.",DRAM/HBM incumbent trying to re-rate on LTAs and HBM4,6,5,9,"Samsung Electronics is a DRAM/HBM incumbent trying to re-rate on LTAs and HBM4. The X thesis is that it benefits from HBM/DRAM tightness, higher blended ASPs, and hyperscaler willingness to sign LTAs, and jukan repeatedly framed samsung as the swing supplier in hbm4, long-term memory contracts, and hybrid-bonding inspection.","Bear case: Samsung Electronics suffers if the pricing spike reverses, qualification slips, or HBM supply normalizes faster than expected. That matters because the current buildout has pulled forward a lot of expectations.",Drop thesis trigger: sell or de-risk if a sharp turn lower in contract pricing or a credible roadmap miss in HBM4/HBM5.,Bullish,Bullish,Moderately bullish,Moderately bullish,Jukan on Samsung memory LTAs with Google and Microsoft; Jukan on Samsung's HBM4 push versus SK hynix; Jukan on Samsung validating Onto's hybrid-bonding inspection tools,https://x.com/jukan05/status/2034824046987419851; https://x.com/jukan05/status/2035294342961823782; https://x.com/jukan05/status/2038929887386362165,Direct in-range mention or direct quote-tweet recovery.,210500.0,0.5242577842143374,0.7535178588911069,1346060198871040.0,Memory
SK hynix,000660.KS,000660.KS,South Korea,memory,A,"['z_nand', 'j_hbm4', 'j_hbm5_bonding']","Jukan and Zephyr both treated SK hynix as core to the HBM/NAND stack, with HBM5 hybrid bonding as the next step.",HBM share leader and roadmap setter,6,5,10,"SK hynix is a HBM share leader and roadmap setter. The X thesis is that it benefits from HBM/DRAM tightness, higher blended ASPs, and hyperscaler willingness to sign LTAs, and jukan and zephyr both treated sk hynix as core to the hbm/nand stack, with hbm5 hybrid bonding as the next step.","Bear case: SK hynix suffers if the pricing spike reverses, qualification slips, or HBM supply normalizes faster than expected. That matters because the current buildout has pulled forward a lot of expectations.",Drop thesis trigger: sell or de-risk if a sharp turn lower in contract pricing or a credible roadmap miss in HBM4/HBM5.,Bullish,Bullish,Moderately bullish,Moderately bullish,"Zephyr on SIMO, Phison, NAND pricing, and customer exposure; Jukan on Samsung's HBM4 push versus SK hynix; Jukan on SK hynix using BESI and AMAT for HBM5 hybrid bonding",https://x.com/zephyr_z9/status/2024157861027405978; https://x.com/jukan05/status/2035294342961823782; https://x.com/jukan05/status/2041002619553149384,Direct in-range mention or direct quote-tweet recovery.,1033000.0,0.4841954022988506,0.8843603788061748,706880414416896.0,Memory
Kioxia,285A.T,285A.T,Japan,memory,A,['z_nand'],Named in Zephyr's NAND/controller thread as part of the merchant-controller customer map.,NAND supplier leveraged to price recovery,7,5,6,"Kioxia is a NAND supplier leveraged to price recovery. The X thesis is that it benefits from HBM/DRAM tightness, higher blended ASPs, and hyperscaler willingness to sign LTAs, and named in zephyr's nand/controller thread as part of the merchant-controller customer map.","Bear case: Kioxia suffers if the pricing spike reverses, qualification slips, or HBM supply normalizes faster than expected. That matters because the current buildout has pulled forward a lot of expectations.",Drop thesis trigger: sell or de-risk if a sharp turn lower in contract pricing or a credible roadmap miss in HBM4/HBM5.,Bullish,Bullish,Moderately bullish,Moderately bullish,"Zephyr on SIMO, Phison, NAND pricing, and customer exposure",https://x.com/zephyr_z9/status/2024157861027405978,Direct in-range mention or direct quote-tweet recovery.,27600.0,1.4317180616740086,0.9897307979010981,15098441629696.0,Memory
TSMC,2330.TW,2330.TW,Taiwan,foundry_packaging,A,"['j_cpu_bottleneck', 'j_onto', 'tsmc_official']",Both accounts kept coming back to TSMC as the foundry and advanced-packaging bottleneck that matters most.,dominant foundry and CoWoS bottleneck capture,5,5,10,"TSMC is a dominant foundry and CoWoS bottleneck capture. The X thesis is that it captures the AI bottleneck because advanced-node logic and packaging capacity are still scarce, and both accounts kept coming back to tsmc as the foundry and advanced-packaging bottleneck that matters most.",Bear case: TSMC gets hurt if CoWoS / hybrid-bonding utilization drops or if customer capex plans slip. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if a multi-quarter packaging digestion phase or geopolitical disruption to Asian manufacturing.,Bullish,Bullish,Moderately bullish,Moderately bullish,Jukan on the 2026 server-CPU bottleneck; Jukan on Samsung validating Onto's hybrid-bonding inspection tools; TSMC Q4 2025 conference call,https://x.com/jukan05/status/2011429601344678241; https://x.com/jukan05/status/2038929887386362165; https://investor.tsmc.com/english/quarterly-results/2025/q4,Direct in-range mention or direct quote-tweet recovery.,1950.0,0.30434782608695654,0.34123872667540217,50698083368960.0,Foundry Packaging
Kyocera,6971.T,6971.T,Japan,foundry_packaging,A,['z_kyocera_analog'],Zephyr highlighted Kyocera's ceramic and packaging leverage inside the analog/legacy bottleneck discussion.,ceramics and component supplier into the packaging stack,5,4,6,"Kyocera is a ceramics and component supplier into the packaging stack. The X thesis is that it captures the AI bottleneck because advanced-node logic and packaging capacity are still scarce, and zephyr highlighted kyocera's ceramic and packaging leverage inside the analog/legacy bottleneck discussion.",Bear case: Kyocera gets hurt if CoWoS / hybrid-bonding utilization drops or if customer capex plans slip. That matters because the current buildout has pulled forward a lot of expectations.,Drop thesis trigger: sell or de-risk if a multi-quarter packaging digestion phase or geopolitical disruption to Asian manufacturing.,Moderately bullish,Bullish,Moderately bullish,Moderately bullish,Zephyr / Collyer Bridge on analog and ceramic bottlenecks,https://www.collyerbridge.com/post/apac-wrap-kyocera-6971-t-micron-mu-teradyne-ter-intel-intc-apple-aapl-and-more,Direct in-range mention or direct quote-tweet recovery.,2604.5,0.16715213981626698,0.39738500181633085,3411296387072.0,Foundry Packaging
FIC Global,3701.TW,3701.TW,Taiwan,substrate_pcb,A,['z_optical_pcb'],Zephyr's favorite among optical-transceiver PCB names.,optical-transceiver PCB specialist,8,5,7,"FIC Global is a optical-transceiver PCB specialist. The X thesis is that it benefits from richer GPU/ASIC module complexity and the need for more advanced substrate and PCB content, and zephyr's favorite among optical-transceiver pcb names.","Bear case: FIC Global is vulnerable to customer concentration, execution mistakes, and technology handoffs between package formats. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if order pushouts, yield issues, or a shift away from the package architecture it is serving.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Zephyr / Collyer Bridge APAC on optical-transceiver PCB suppliers,https://www.collyerbridge.com/post/apac-roundup-micron-mu-boe-000725-sz-sabic-2010-sr-foxconn-2317-tt-and-more,Direct in-range mention or direct quote-tweet recovery.,56.400001525878906,0.15811089614600427,0.8994796695420932,12915248128.0,Substrate Pcb
Suntak,002815.SZ,002815.SZ,China,substrate_pcb,A,['z_optical_pcb'],Named by Zephyr among the optical-transceiver PCB leaders.,optical and high-speed PCB supplier,8,6,7,"Suntak is a optical and high-speed PCB supplier. The X thesis is that it benefits from richer GPU/ASIC module complexity and the need for more advanced substrate and PCB content, and named by zephyr among the optical-transceiver pcb leaders.","Bear case: Suntak is vulnerable to customer concentration, execution mistakes, and technology handoffs between package formats. That matters because the current buildout has pulled forward a lot of expectations.","Drop thesis trigger: sell or de-risk if order pushouts, yield issues, or a shift away from the package architecture it is serving.",Moderately bullish,Moderately bullish,Moderately bullish,Neutral,Zephyr / Collyer Bridge APAC on optical-transceiver PCB suppliers,https://www.collyerbridge.com/post/apac-roundup-micron-mu-boe-000725-sz-sabic-2010-sr-foxconn-2317-tt-and-more,Direct in-range mention or direct quote-tweet recovery.,14.59000015258789,0.04214286804199219,0.5181593472257122,18228414464.0,Substrate Pcb
