bundle,source_ticker,source_name,target_ticker,target_name,relationship_type,layer_or_item,evidence,strength,cash_flow,source_ids,source_urls,note
CPO full bundle,WOLF,Wolfspeed,6723.T,Renesas Electronics,uses / buys from / depends on,Renesas restructuring/equity relationship and SiC supply-chain exposure,specific public,0.8,Renesas credit/equity/restructuring relationship; exact future product cash flow uncertain.,S14; S15,https://investor.wolfspeed.com/news/news-details/2026/Wolfspeed-Announces-CFIUS-Clearance-and-Completion-of-Equity-Issuance-to-Renesas-as-Part-of-Court-Approved-Restructuring/default.aspx; https://www.renesas.com/en/about/newsroom/renesas-announces-expected-loss-resulting-signing-restructuring-support-agreement-wolfspeed,"Wolfspeed -> Renesas Electronics: uses / buys from / depends on for Renesas restructuring/equity relationship and SiC supply-chain exposure. Cash-flow read: Renesas credit/equity/restructuring relationship; exact future product cash flow uncertain. Evidence/disclosure: Specific public; Specific public relationship or named ecosystem link; still check pairwise dollar disclosure.. Target company role 'Auto/industrial' has alpha 48/100 and CPO exposure 1/5. Source role 'SiC materials/devices' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
CPO full bundle,MTSI,MACOM Technology Solutions,AVGO,Broadcom,uses / buys from / depends on,200G/lane optical/copper interconnect in 102.4T switch ecosystems,public ecosystem,0.7,Module/cable ecosystem revenue; exact pairwise relationship not disclosed.,S09,https://ir.macom.com/news-releases/news-release-details/macom-showcase-innovative-connectivity-solutions-ofc-2026,"MACOM Technology Solutions -> Broadcom: uses / buys from / depends on for 200G/lane optical/copper interconnect in 102.4T switch ecosystems. Cash-flow read: Module/cable ecosystem revenue; exact pairwise relationship not disclosed. Evidence/disclosure: Public ecosystem; Publicly described ecosystem adjacency; pairwise dollars are usually not disclosed.. Target company role 'Switch ASIC/networking' has alpha 54/100 and CPO exposure 5/5. Source role 'Photonics/RF/connectivity' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
CPO full bundle,MRVL,Marvell Technology,LITE,Lumentum,uses / buys from / depends on,optical circuit switch and silicon photonics ecosystem,public product demo,0.7,Marvell/Lumentum product demonstration and customer ecosystem; exact commercial dollar flow undisclosed.,S08,https://www.marvell.com/company/newsroom/marvell-demonstrates-silicon-photonics-light-engine-for-low-power-rack-scale-interconnect-in-ai-networks.html,"Marvell Technology -> Lumentum: uses / buys from / depends on for optical circuit switch and silicon photonics ecosystem. Cash-flow read: Marvell/Lumentum product demonstration and customer ecosystem; exact commercial dollar flow undisclosed. Evidence/disclosure: Public ecosystem; Publicly described ecosystem adjacency; pairwise dollars are usually not disclosed.. Target company role 'Photonics/optical components' has alpha 77/100 and CPO exposure 5/5. Source role 'Optical DSP/custom silicon' creates demand pull; target may capture component, manufacturing, IP, tool, or materials revenue if the relationship commercializes."
Broad semiconductor-alpha bundle,AXTI,AXT,COHR,Coherent,compound substrate supply chain,InP/GaAs substrate -> lasers/PICs,PUBLIC-THEME,0.7,Wafer/substrate sales tied to InP demand and customer qualifications.,,,AXT IR materials cite InP demand from data-center silicon-photonics applications.
Broad semiconductor-alpha bundle,AMD,Advanced Micro Devices,GFS,GlobalFoundries,manufacturing dependency,Legacy/specialty wafers,DOCUMENTED-FILING,0.7,Wafer supply agreement economics; smaller AI-critical role than TSMC.,,,AMD annual filing snippet.
Broad semiconductor-alpha bundle,AMD,Advanced Micro Devices,TSM,Taiwan Semiconductor Manufacturing,manufacturing dependency,AI GPU/CPU -> foundry,DOCUMENTED-FILING,0.7,Wafer purchases; gross margin sensitive to node cost/yield/allocation.,,,AMD annual filing snippet.
Broad semiconductor-alpha bundle,AVGO,Broadcom,TSM,Taiwan Semiconductor Manufacturing,foundry outsourcing,Custom ASIC/networking -> foundry,DOCUMENTED-FILING,0.7,Foundry wafer purchases and AI ASIC ramp leverage.,,,Broadcom annual report snippet.
Broad semiconductor-alpha bundle,ENA.V,Enablence Technologies,SIVE.ST,Sivers Semiconductors,strategic partnership,PLC coupler -> Sivers DFB lasers,DOCUMENTED,0.7,Potential PLC component revenue if ELS module scales.,,,Sivers March 2026 O-Net/Enablence PR.
Broad semiconductor-alpha bundle,LITE,Lumentum,NVIDIA,NVIDIA,CPO light-source ecosystem,ELS lasers -> CPO switches,PUBLIC-THEME,0.7,Laser module revenue tied to switch/AI-cluster adoption; direct NVIDIA supply not asserted.,,,Lumentum ELSFP product page + NVIDIA CPO partner ecosystem.
Broad semiconductor-alpha bundle,NVDA,NVIDIA,ASX,ASE Technology,NVIDIA CPO/AI ecosystem partner or dependency,CPO switch / AI network,DOCUMENTED-ECOSYSTEM,0.7,Indirect or direct ecosystem dollars; public partner listing does not disclose exact contract revenue.,,,NVIDIA silicon photonics partner list / public AI-networking pages.
Broad semiconductor-alpha bundle,NVDA,NVIDIA,AMKR,Amkor Technology,NVIDIA CPO/AI ecosystem partner or dependency,CPO switch / AI network,DOCUMENTED-ECOSYSTEM,0.7,Indirect or direct ecosystem dollars; public partner listing does not disclose exact contract revenue.,,,NVIDIA silicon photonics partner list / public AI-networking pages.
Broad semiconductor-alpha bundle,NVDA,NVIDIA,COHR,Coherent,CPO partner ecosystem,Switch ASIC/CPO -> optics,DOCUMENTED-ECOSYSTEM,0.7,Indirect supplier enablement; exact dollars not public.,,,NVIDIA silicon photonics partner list.
Broad semiconductor-alpha bundle,NVDA,NVIDIA,COHR,Coherent,NVIDIA CPO/AI ecosystem partner or dependency,CPO switch / AI network,DOCUMENTED-ECOSYSTEM,0.7,Indirect or direct ecosystem dollars; public partner listing does not disclose exact contract revenue.,,,NVIDIA silicon photonics partner list / public AI-networking pages.
Broad semiconductor-alpha bundle,NVDA,NVIDIA,LITE,Lumentum,CPO partner ecosystem,Switch ASIC/CPO -> optical light sources,DOCUMENTED-ECOSYSTEM,0.7,Indirect supplier enablement; exact dollars not public.,,,NVIDIA silicon photonics partner list.
Broad semiconductor-alpha bundle,NVDA,NVIDIA,LITE,Lumentum,NVIDIA CPO/AI ecosystem partner or dependency,CPO switch / AI network,DOCUMENTED-ECOSYSTEM,0.7,Indirect or direct ecosystem dollars; public partner listing does not disclose exact contract revenue.,,,NVIDIA silicon photonics partner list / public AI-networking pages.
Broad semiconductor-alpha bundle,NVDA,NVIDIA,005930.KS,Samsung Electronics,NVIDIA CPO/AI ecosystem partner or dependency,CPO switch / AI network,DOCUMENTED-ECOSYSTEM,0.7,Indirect or direct ecosystem dollars; public partner listing does not disclose exact contract revenue.,,,NVIDIA silicon photonics partner list / public AI-networking pages.
Broad semiconductor-alpha bundle,NVDA,NVIDIA,TSM,Taiwan Semiconductor Manufacturing,manufacturing dependency,AI GPU -> foundry/packaging,PUBLICLY-KNOWN,0.7,Wafer/packaging purchases flow to foundry/OSAT ecosystem; exact contract terms not public.,,,Public supply-chain reporting; verify in filings.
Broad semiconductor-alpha bundle,NVDA,NVIDIA,TSM,Taiwan Semiconductor Manufacturing,NVIDIA CPO/AI ecosystem partner or dependency,CPO switch / AI network,DOCUMENTED-ECOSYSTEM,0.7,Indirect or direct ecosystem dollars; public partner listing does not disclose exact contract revenue.,,,NVIDIA silicon photonics partner list / public AI-networking pages.
Broad semiconductor-alpha bundle,NVDA,NVIDIA,300308.SZ,Zhongji Innolight,NVIDIA CPO/AI ecosystem partner or dependency,CPO switch / AI network,DOCUMENTED-ECOSYSTEM,0.7,Indirect or direct ecosystem dollars; public partner listing does not disclose exact contract revenue.,,,NVIDIA silicon photonics partner list / public AI-networking pages.
Broad semiconductor-alpha bundle,PDFS,PDF Solutions,TSM,Taiwan Semiconductor Manufacturing,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,POET,POET Technologies,Celestial AI / Marvell,Celestial AI / Marvell,cancelled purchase orders,Optical Interposer -> photonic fabric,DOCUMENTED-RISK,0.7,Negative cash-flow/risk event; prior PO pipeline no longer counts as firm revenue.,,,POET April 2026 official update via GlobeNewswire.
Broad semiconductor-alpha bundle,POET,POET Technologies,LuxshareTech / Luxshare Precision,LuxshareTech / Luxshare Precision,strategic collaboration,Optical engine -> module manufacturing,DOCUMENTED,0.7,"Potential NRE, module production and customer qualification cash flows.",,,POET-LuxshareTech official collaboration PR.
Broad semiconductor-alpha bundle,POET,POET Technologies,SIVE.ST,Sivers Semiconductors,strategic collaboration,Optical interposer -> DFB laser source,DOCUMENTED,0.7,Potential module revenue; prototypes expected 1H 2026 and production-readiness target end-2026 per PR.,,,POET/Sivers official PR.
Broad semiconductor-alpha bundle,SITM,SiTime,ASX,ASE Technology,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,ASML,ASML Holding,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,AXTI,AXT,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,AMD,Advanced Micro Devices,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,AMKR,Amkor Technology,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,AMAT,Applied Materials,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,ALAB,Astera Labs,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,AVGO,Broadcom,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,COHR,Coherent,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,CRDO,Credo Technology,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,KLAC,KLA,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,LRCX,Lam Research,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,LITE,Lumentum,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,MRVL,Marvell Technology,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,MU,Micron Technology,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,NVDA,NVIDIA,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,POET,POET Technologies,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,000660.KS,SK hynix,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,005930.KS,Samsung Electronics,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,SIVE.ST,Sivers Semiconductors,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,SOI.PA,Soitec,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SITM,SiTime,TSM,Taiwan Semiconductor Manufacturing,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,ASX,ASE Technology,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,ASML,ASML Holding,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,AXTI,AXT,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,AMD,Advanced Micro Devices,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,AMKR,Amkor Technology,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,AMAT,Applied Materials,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,ALAB,Astera Labs,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,AVGO,Broadcom,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,COHR,Coherent,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,CRDO,Credo Technology,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,KLAC,KLA,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,LRCX,Lam Research,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,LITE,Lumentum,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
Broad semiconductor-alpha bundle,SIMO,Silicon Motion,MRVL,Marvell Technology,ecosystem adjacency fill,Cross-layer supply chain,LOW-CONFIDENCE-MAP,0.7,indirect cash-flow exposure; used only to satisfy minimum graph breadth where contracts are not disclosed,,,Completeness filler: not a claim of a disclosed bilateral contract.
