symbol,name,rank,tier,alpha_score,edge_count,out_edges,in_edges,top_relationship,top_use,top_cash_flow
6526.T,Socionext,37,custom ASIC / interconnect,62,62,40,22,AI connectivity / chiplet ecosystem peer,"SerDes, PCIe/CXL, Ethernet, ASIC, chiplet and IP interoperability","cash flow varies: components, licenses, or customer-bundled BOM"
FORM,FormFactor,11,wafer fab equipment,78,54,15,39,buys inspection/test/metrology,"yield, process control, wafer test, advanced package inspection",indirect spend via foundry/OSAT and direct qualification equipment
ONTO,Onto Innovation,15,wafer fab equipment,74,54,15,39,buys inspection/test/metrology,"yield, process control, wafer test, advanced package inspection",indirect spend via foundry/OSAT and direct qualification equipment
6857.T,Advantest,20,wafer fab equipment,69,54,15,39,buys inspection/test/metrology,"yield, process control, wafer test, advanced package inspection",indirect spend via foundry/OSAT and direct qualification equipment
TER,Teradyne,68,wafer fab equipment,53,54,15,39,buys inspection/test/metrology,"yield, process control, wafer test, advanced package inspection",indirect spend via foundry/OSAT and direct qualification equipment
AEHR,Aehr Test Systems,93,wafer fab equipment,45,54,15,39,buys inspection/test/metrology,"yield, process control, wafer test, advanced package inspection",indirect spend via foundry/OSAT and direct qualification equipment
2344.TW,Winbond Electronics,85,memory,48,46,36,10,HBM/package/test ecosystem,"HBM stack, package, probe, burn-in, inspection and yield ramp",2344.TW or its customers fund HBM/advanced package operations
2337.TW,Macronix International,90,memory,46,46,36,10,HBM/package/test ecosystem,"HBM stack, package, probe, burn-in, inspection and yield ramp",2337.TW or its customers fund HBM/advanced package operations
COHU,Cohu,73,wafer fab equipment,51,43,15,28,buys inspection/test/metrology,"yield, process control, wafer test, advanced package inspection",fabs/IDMs pay COHU for equipment/materials/services
ASML,ASML Holding,33,wafer fab equipment,63,41,10,31,adjacent supplier/peer,"subsystems, process flows or paired tool adoption in wafer manufacturing",cash flows may be supplier-to-toolmaker or fab-to-vendor
8035.T,Tokyo Electron,40,wafer fab equipment,61,41,10,31,adjacent supplier/peer,"subsystems, process flows or paired tool adoption in wafer manufacturing",cash flows may be supplier-to-toolmaker or fab-to-vendor
KLAC,KLA,63,wafer fab equipment,54,41,10,31,adjacent supplier/peer,"subsystems, process flows or paired tool adoption in wafer manufacturing",cash flows may be supplier-to-toolmaker or fab-to-vendor
AMAT,Applied Materials,65,wafer fab equipment,53,41,10,31,adjacent supplier/peer,"subsystems, process flows or paired tool adoption in wafer manufacturing",cash flows may be supplier-to-toolmaker or fab-to-vendor
LRCX,Lam Research,67,wafer fab equipment,53,41,10,31,adjacent supplier/peer,"subsystems, process flows or paired tool adoption in wafer manufacturing",cash flows may be supplier-to-toolmaker or fab-to-vendor
NVMI,Nova,5,wafer fab equipment,84,37,15,22,buys inspection/test/metrology,"yield, process control, wafer test, advanced package inspection",fabs/IDMs pay NVMI for equipment/materials/services
4063.T,Shin-Etsu Chemical,46,materials / wafers,59,37,15,22,buys materials,"silicon wafers, photomasks/photoresists, filters, chemicals and contamination control",fabs/IDMs pay 4063.T for equipment/materials/services
3105.TWO,WIN Semiconductors,57,foundry,55,34,24,10,uses manufacturing capacity,fabless/customer design is manufactured at foundry or memory supplier,3105.TWO capex flows to equipment suppliers
000990.KS,DB HiTek,76,foundry,50,34,24,10,uses manufacturing capacity,fabless/customer design is manufactured at foundry or memory supplier,000990.KS capex flows to equipment suppliers
RMBS,Rambus,80,custom ASIC / interconnect,50,34,26,8,AI connectivity / chiplet ecosystem peer,"SerDes, PCIe/CXL, Ethernet, ASIC, chiplet and IP interoperability","cash flow varies: components, licenses, or customer-bundled BOM"
6266.T,TOWA,16,OSAT / packaging,73,31,25,6,serves AI/fabless customers,"assembly, test, advanced packaging, chiplet integration",AI chip companies pay packaging/test providers
ASMI.AS,ASM International,9,wafer fab equipment,80,30,16,14,buys fab equipment,"lithography, deposition, etch, clean, process control tools",fabs/IDMs pay ASMI.AS for equipment/materials/services
ACMR,ACM Research,19,wafer fab equipment,70,30,16,14,buys fab equipment,"lithography, deposition, etch, clean, process control tools",fabs/IDMs pay ACMR for equipment/materials/services
SOI.PA,Soitec,34,materials / wafers,63,30,16,14,buys materials,"silicon wafers, photomasks/photoresists, filters, chemicals and contamination control",fabs/IDMs pay SOI.PA for equipment/materials/services
WAF.DE,Siltronic,45,materials / wafers,60,30,16,14,buys materials,"silicon wafers, photomasks/photoresists, filters, chemicals and contamination control",fabs/IDMs pay WAF.DE for equipment/materials/services
4186.T,Tokyo Ohka Kogyo,47,materials / wafers,59,30,16,14,buys materials,"silicon wafers, photomasks/photoresists, filters, chemicals and contamination control",fabs/IDMs pay 4186.T for equipment/materials/services
7735.T,SCREEN Holdings,51,wafer fab equipment,58,30,16,14,buys fab equipment,"lithography, deposition, etch, clean, process control tools",fabs/IDMs pay 7735.T for equipment/materials/services
ACLS,Axcelis Technologies,69,wafer fab equipment,52,30,16,14,buys fab equipment,"lithography, deposition, etch, clean, process control tools",fabs/IDMs pay ACLS for equipment/materials/services
QCOM,Qualcomm,49,analog / power / RF,59,27,17,10,serves AI/fabless customers,"assembly, test, advanced packaging, chiplet integration",AI chip companies pay packaging/test providers
2454.TW,MediaTek,50,analog / power / RF,58,26,16,10,serves AI/fabless customers,"assembly, test, advanced packaging, chiplet integration",AI chip companies pay packaging/test providers
6146.T,Disco,25,OSAT / packaging,66,25,25,0,serves AI/fabless customers,"assembly, test, advanced packaging, chiplet integration",AI chip companies pay packaging/test providers
6590.T,Shibaura Mechatronics,30,OSAT / packaging,64,25,25,0,serves AI/fabless customers,"assembly, test, advanced packaging, chiplet integration",AI chip companies pay packaging/test providers
CAMT,Camtek,4,wafer fab equipment,86,23,15,8,sells into fabs,"capacity additions and process-node ramps in logic, memory and advanced packaging",fabs/IDMs pay CAMT for equipment/materials/services
