source,source_name,target,target_name,relationship,use,cash_flow,amount,evidence,confidence
AVGO,Broadcom,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,AVGO pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
AVGO,Broadcom,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,AVGO pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
AVGO,Broadcom,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,AVGO pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
AVGO,Broadcom,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,AVGO pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
AVGO,Broadcom,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,AVGO pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
AVGO,Broadcom,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AVGO pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
AVGO,Broadcom,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AVGO pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
AVGO,Broadcom,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AVGO pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
AVGO,Broadcom,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AVGO pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
AVGO,Broadcom,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",AVGO pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
AVGO,Broadcom,000660.KS,SK hynix,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
AVGO,Broadcom,MU,Micron Technology,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
AVGO,Broadcom,005930.KS,Samsung Electronics,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
AVGO,Broadcom,TER,Teradyne,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
AVGO,Broadcom,6857.T,Advantest,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
AVGO,Broadcom,ONTO,Onto Innovation,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
AVGO,Broadcom,FORM,FormFactor,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
AVGO,Broadcom,AEHR,Aehr Test Systems,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
QCOM,Qualcomm,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,QCOM pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
QCOM,Qualcomm,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,QCOM pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
QCOM,Qualcomm,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,QCOM pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
QCOM,Qualcomm,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,QCOM pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
QCOM,Qualcomm,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,QCOM pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
QCOM,Qualcomm,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",QCOM pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
QCOM,Qualcomm,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",QCOM pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
QCOM,Qualcomm,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",QCOM pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
QCOM,Qualcomm,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",QCOM pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
QCOM,Qualcomm,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",QCOM pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
QCOM,Qualcomm,ENTG,Entegris,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
QCOM,Qualcomm,PLAB,Photronics,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
QCOM,Qualcomm,6488.TWO,GlobalWafers,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
QCOM,Qualcomm,3436.T,SUMCO,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
TXN,Texas Instruments,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,TXN pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
TXN,Texas Instruments,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,TXN pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
TXN,Texas Instruments,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,TXN pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
TXN,Texas Instruments,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,TXN pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
TXN,Texas Instruments,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,TXN pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
TXN,Texas Instruments,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",TXN pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
TXN,Texas Instruments,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",TXN pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
TXN,Texas Instruments,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",TXN pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
TXN,Texas Instruments,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",TXN pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
TXN,Texas Instruments,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",TXN pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
TXN,Texas Instruments,ENTG,Entegris,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
TXN,Texas Instruments,PLAB,Photronics,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
TXN,Texas Instruments,6488.TWO,GlobalWafers,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
TXN,Texas Instruments,3436.T,SUMCO,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
ADI,Analog Devices,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,ADI pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
ADI,Analog Devices,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,ADI pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
ADI,Analog Devices,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,ADI pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
ADI,Analog Devices,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,ADI pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
ADI,Analog Devices,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,ADI pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
ADI,Analog Devices,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",ADI pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
ADI,Analog Devices,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",ADI pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
ADI,Analog Devices,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",ADI pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
ADI,Analog Devices,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",ADI pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
ADI,Analog Devices,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",ADI pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
ADI,Analog Devices,ENTG,Entegris,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
ADI,Analog Devices,PLAB,Photronics,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
ADI,Analog Devices,6488.TWO,GlobalWafers,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
ADI,Analog Devices,3436.T,SUMCO,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
MRVL,Marvell Technology,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,MRVL pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
MRVL,Marvell Technology,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,MRVL pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
MRVL,Marvell Technology,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,MRVL pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
MRVL,Marvell Technology,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,MRVL pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
MRVL,Marvell Technology,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,MRVL pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
MRVL,Marvell Technology,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",MRVL pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
MRVL,Marvell Technology,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",MRVL pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
MRVL,Marvell Technology,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",MRVL pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
MRVL,Marvell Technology,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",MRVL pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
MRVL,Marvell Technology,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",MRVL pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
MRVL,Marvell Technology,000660.KS,SK hynix,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
MRVL,Marvell Technology,MU,Micron Technology,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
MRVL,Marvell Technology,005930.KS,Samsung Electronics,uses memory ecosystem,"HBM/DRAM attached to accelerators, AI systems, or server platforms",system BOM cash flows toward memory suppliers,mostly undisclosed,NVIDIA/AMD/Micron/SK hynix disclosures + supply-chain map,medium
MRVL,Marvell Technology,TER,Teradyne,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
MRVL,Marvell Technology,6857.T,Advantest,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
MRVL,Marvell Technology,ONTO,Onto Innovation,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
MRVL,Marvell Technology,FORM,FormFactor,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
MRVL,Marvell Technology,AEHR,Aehr Test Systems,uses test/metrology indirectly,"probe, validation, advanced package inspection through foundry/OSAT flow",indirect spend via foundry/OSAT and direct qualification equipment,undisclosed,industry map,medium
ON,ON Semiconductor,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,ON pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
ON,ON Semiconductor,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,ON pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
ON,ON Semiconductor,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,ON pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
ON,ON Semiconductor,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,ON pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
ON,ON Semiconductor,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,ON pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
ON,ON Semiconductor,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",ON pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
ON,ON Semiconductor,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",ON pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
ON,ON Semiconductor,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",ON pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
ON,ON Semiconductor,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",ON pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
ON,ON Semiconductor,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",ON pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
ON,ON Semiconductor,ENTG,Entegris,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
ON,ON Semiconductor,PLAB,Photronics,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
ON,ON Semiconductor,6488.TWO,GlobalWafers,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
ON,ON Semiconductor,3436.T,SUMCO,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
MCHP,Microchip Technology,TSM,Taiwan Semiconductor Manufacturing,uses foundry capacity,wafer fabrication / process nodes / specialty processes,MCHP pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
MCHP,Microchip Technology,005930.KS,Samsung Electronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,MCHP pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
MCHP,Microchip Technology,UMC,United Microelectronics,uses foundry capacity,wafer fabrication / process nodes / specialty processes,MCHP pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
MCHP,Microchip Technology,GFS,GlobalFoundries,uses foundry capacity,wafer fabrication / process nodes / specialty processes,MCHP pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
MCHP,Microchip Technology,TSEM,Tower Semiconductor,uses foundry capacity,wafer fabrication / process nodes / specialty processes,MCHP pays foundry suppliers for wafers,mostly undisclosed,public filings + supply-chain map,medium
MCHP,Microchip Technology,ASX,ASE Technology Holding,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",MCHP pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
MCHP,Microchip Technology,AMKR,Amkor Technology,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",MCHP pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
MCHP,Microchip Technology,BESI.AS,BE Semiconductor Industries,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",MCHP pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
MCHP,Microchip Technology,KLIC,Kulicke & Soffa,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",MCHP pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
MCHP,Microchip Technology,042700.KQ,Hanmi Semiconductor,uses packaging/test,"assembly, substrate integration, HBM/advanced packaging, final test",MCHP pays OSAT or packaging partners,mostly undisclosed,public filings + supply-chain map,medium
MCHP,Microchip Technology,ENTG,Entegris,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
MCHP,Microchip Technology,PLAB,Photronics,uses materials indirectly,"photomasks, wafers, chemicals via foundry supply chain",indirect cost embedded in wafer pricing,undisclosed,industry map,medium-low
