rank,symbol,name,region,country,exchange,tier,alpha_score,price,market_cap,pe,alpha_reason,connection_count,latest_price,latest_currency,latest_market_cap_usd,latest_market_cap_b_usd,latest_ytd_return_pct,market_data_as_of,market_data_source,market_adjusted_score,market_adjusted_rank,market_adjustment_reason
11,FORM,FormFactor,US,United States,NASDAQ,wafer fab equipment,78,137.37,10678319580,264.17,"picks-and-shovels exposure to AI connectivity, HBM/advanced packaging, metrology, or ASIC ramps with smaller market visibility than the megacaps.",38,137.47,USD,10709000000.00,10.71,132.25,2026-05-04,https://finance.yahoo.com/quote/FORM/,73.00,11,source score 78; mid-cap optionality credit; major YTD repricing penalty; high multiple haircut
12,COHR,Coherent,US,United States,NASDAQ,analog / power / RF,77,329.5,61775270234,319.9,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,329.5,USD,61775000000.00,61.77,69.56,2026-05-04,https://finance.yahoo.com/quote/COHR/,72.50,12,source score 77; mid/large-cap valuation haircut; moderate YTD repricing penalty; high multiple haircut
13,000660.KS,SK hynix,Non-US,South Korea,KRX,memory,76,,,,"HBM/DRAM tightness links directly to AI accelerator supply, but memory cycles and capex timing are major risks.",47,1447000.0,KRW,,,113.74,2026-05-04,https://finance.yahoo.com/quote/000660.KS/,72.00,14,source score 76; latest market cap unavailable; major YTD repricing penalty
14,MU,Micron Technology,US,United States,NASDAQ,memory,75,542.21,619203820000,25.6,"HBM/DRAM tightness links directly to AI accelerator supply, but memory cycles and capex timing are major risks.",47,542.21,USD,583219000000.00,583.22,71.9,2026-05-04,https://finance.yahoo.com/quote/MU/,68.00,18,source score 75; megacap crowding penalty; moderate YTD repricing penalty
15,ONTO,Onto Innovation,US,United States,NASDAQ,wafer fab equipment,74,292.92,14384129520,82.75,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,38,292.92,USD,14571000000.00,14.57,76.6,2026-05-04,https://finance.yahoo.com/quote/ONTO/,72.50,13,source score 74; mid-cap optionality credit; moderate YTD repricing penalty
16,6266.T,TOWA,Non-US,Japan,TSE,OSAT / packaging,73,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",31,3030.0,JPY,,,46.38,2026-05-04,https://finance.yahoo.com/quote/6266.T/,71.00,15,source score 73; latest market cap unavailable; moderate YTD repricing penalty
17,3443.TW,Global Unichip,Non-US,Taiwan,TWSE,custom ASIC / interconnect,72,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",41,4685.0,TWD,,,114.42,2026-05-04,https://finance.yahoo.com/quote/3443.TW/,68.00,19,source score 72; latest market cap unavailable; major YTD repricing penalty
18,5274.TW,ASPEED Technology,Non-US,Taiwan,TWSE,analog / power / RF,71,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",21,17545.0,TWD,,,141.83,2026-05-04,https://finance.yahoo.com/quote/5274.TWO/,67.00,21,source score 71; latest market cap unavailable; major YTD repricing penalty
19,ACMR,ACM Research,US,United States,NASDAQ,wafer fab equipment,70,52.15,3567806423,30.14,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,20,52.15,USD,,,16.2,2026-05-04,https://finance.yahoo.com/quote/ACMR/,70.00,16,source score 70; latest market cap unavailable
20,6857.T,Advantest,Non-US,Japan,TSE,wafer fab equipment,69,,,,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,38,27815.0,JPY,,,31.36,2026-05-04,https://finance.yahoo.com/quote/6857.T/,69.00,17,source score 69; latest market cap unavailable
21,GFS,GlobalFoundries,US,United States,NASDAQ,foundry,69,64.91,35802041829,,"manufacturing tollgate in AI supply, with score influenced by pricing power, technology node, and geopolitical risk.",78,64.91,USD,35640000000.00,35.64,76.05,2026-05-04,https://finance.yahoo.com/quote/GFS/,67.50,20,source score 69; mid-cap optionality credit; moderate YTD repricing penalty
22,ARM,Arm Holdings,Non-US,United Kingdom,NASDAQ ADR,custom ASIC / interconnect,68,211.18,221281845983,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",41,211.07,USD,224273000000.00,224.27,83.97,2026-05-04,https://finance.yahoo.com/quote/ARM/,63.00,29,source score 68; large-cap discovery penalty; moderate YTD repricing penalty
23,TSEM,Tower Semiconductor,Non-US,Israel,NASDAQ,foundry,68,218.01,24214340179,,"manufacturing tollgate in AI supply, with score influenced by pricing power, technology node, and geopolitical risk.",78,218.01,USD,25941000000.00,25.94,79.08,2026-05-04,https://finance.yahoo.com/quote/TSEM/,66.50,22,source score 68; mid-cap optionality credit; moderate YTD repricing penalty
24,6488.TWO,GlobalWafers,Non-US,Taiwan,TPEx,materials / wafers,67,,,,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,62,606.0,TWD,,,50.37,2026-05-04,https://finance.yahoo.com/quote/6488.TWO/,65.00,23,source score 67; latest market cap unavailable; moderate YTD repricing penalty
25,6146.T,Disco,Non-US,Japan,TSE,OSAT / packaging,66,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",25,72250.0,JPY,50726400000.00,50.73,41.39,2026-05-04,https://finance.yahoo.com/quote/6146.T/,63.00,30,source score 66; mid/large-cap valuation haircut; moderate YTD repricing penalty
26,NVTS,Navitas Semiconductor,US,United States,NASDAQ,analog / power / RF,66,17.45,3711283450,-26.85,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,17.45,USD,4027000000.00,4.03,108.23,2026-05-04,https://finance.yahoo.com/quote/NVTS/,63.50,26,source score 66; smaller-cap optionality credit; major YTD repricing penalty
27,ENTG,Entegris,US,United States,NASDAQ,materials / wafers,65,142.29,21798828000,81.78,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,62,142.29,USD,21663000000.00,21.66,58.88,2026-05-04,https://finance.yahoo.com/quote/ENTG/,63.50,27,source score 65; mid-cap optionality credit; moderate YTD repricing penalty
28,ICHR,Ichor Holdings,US,United States,NASDAQ,wafer fab equipment,65,64.42,2212580400,-54.13,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,20,64.42,USD,,,215.63,2026-05-04,https://finance.yahoo.com/quote/ICHR/,58.00,37,source score 65; latest market cap unavailable; extreme YTD repricing penalty
29,UCTT,Ultra Clean Holdings,US,United States,NASDAQ,wafer fab equipment,65,74.61,3379833000,-17.39,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,20,74.61,USD,3345000000.00,3.35,173.1,2026-05-04,https://finance.yahoo.com/quote/UCTT/,62.50,31,source score 65; smaller-cap optionality credit; major YTD repricing penalty
30,6590.T,Shibaura Mechatronics,Non-US,Japan,TSE,OSAT / packaging,64,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",25,4690.0,JPY,,,21.06,2026-05-04,https://finance.yahoo.com/quote/6590.T/,64.00,24,source score 64; latest market cap unavailable
31,6920.T,Lasertec,Non-US,Japan,TSE,wafer fab equipment,64,,,,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,20,42930.0,JPY,,,35.38,2026-05-04,https://finance.yahoo.com/quote/6920.T/,64.00,25,source score 64; latest market cap unavailable
32,MKSI,MKS Instruments,US,United States,NASDAQ,wafer fab equipment,64,279.38,18886088000,67.65,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,20,279.38,USD,18808000000.00,18.81,65.94,2026-05-04,https://finance.yahoo.com/quote/MKSI/,62.50,32,source score 64; mid-cap optionality credit; moderate YTD repricing penalty
33,ASML,ASML Holding,Non-US,Netherlands,NASDAQ ADR,wafer fab equipment,63,1427.02,561420664301,,"core AI winner, but already highly owned; score is capped by crowding and valuation discovery.",31,1427.02,USD,549999000000.00,550.00,22.62,2026-05-04,https://finance.yahoo.com/quote/ASML/,58.00,38,source score 63; megacap crowding penalty
34,SOI.PA,Soitec,Non-US,France,Euronext Paris,materials / wafers,63,,,,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,20,146.2,EUR,,,487.86,2026-05-04,https://finance.yahoo.com/quote/SOI.PA/,56.00,46,source score 63; latest market cap unavailable; extreme YTD repricing penalty
35,005930.KS,Samsung Electronics,Non-US,South Korea,KRX,memory,62,,,,"HBM/DRAM tightness links directly to AI accelerator supply, but memory cycles and capex timing are major risks.",84,232500.0,KRW,,,80.93,2026-05-04,https://finance.yahoo.com/quote/005930.KS/,60.00,35,source score 62; latest market cap unavailable; moderate YTD repricing penalty
36,084370.KQ,Eugene Technology,Non-US,South Korea,KOSDAQ,wafer fab equipment,62,,,,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,20,132000.0,KRW,,,54.21,2026-05-04,https://finance.yahoo.com/quote/084370.KQ/,60.00,36,source score 62; latest market cap unavailable; moderate YTD repricing penalty
37,6526.T,Socionext,Non-US,Japan,TSE,custom ASIC / interconnect,62,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",41,1927.5,JPY,,,-15.16,2026-05-04,https://finance.yahoo.com/quote/6526.T/,63.50,28,source score 62; latest market cap unavailable; negative YTD optionality credit
38,TSM,Taiwan Semiconductor Manufacturing,Non-US,Taiwan,NYSE ADR,foundry,62,397.67,10313026244430,,"core AI winner, but already highly owned; score is capped by crowding and valuation discovery.",78,397.67,USD,2062000000000.00,2062.00,24.42,2026-05-04,https://finance.yahoo.com/quote/TSM/,57.00,43,source score 62; megacap crowding penalty
39,4966.TW,Parade Technologies,Non-US,Taiwan,TWSE,analog / power / RF,61,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,575.0,TWD,,,-0.69,2026-05-04,https://finance.yahoo.com/quote/4966.TWO/,62.50,33,source score 61; latest market cap unavailable; negative YTD optionality credit
40,8035.T,Tokyo Electron,Non-US,Japan,TSE,wafer fab equipment,61,,,,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,31,47450.0,JPY,,,28.49,2026-05-04,https://finance.yahoo.com/quote/8035.T/,61.00,34,source score 61; latest market cap unavailable
41,AVGO,Broadcom,US,United States,NASDAQ,custom ASIC / interconnect,61,421.28,2047420800000,104.8,"core AI winner, but already highly owned; score is capped by crowding and valuation discovery.",80,421.28,USD,1995000000000.00,1995.00,21.19,2026-05-04,https://finance.yahoo.com/quote/AVGO/,56.00,47,source score 61; megacap crowding penalty
42,3436.T,SUMCO,Non-US,Japan,TSE,materials / wafers,60,,,,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,62,2533.0,JPY,,,74.81,2026-05-04,https://finance.yahoo.com/quote/3436.T/,58.00,39,source score 60; latest market cap unavailable; moderate YTD repricing penalty
43,AMD,Advanced Micro Devices,US,United States,NASDAQ,AI accelerator,60,360.54,591646140000,177.61,"core AI winner, but already highly owned; score is capped by crowding and valuation discovery.",73,360.54,USD,577964000000.00,577.96,61.34,2026-05-04,https://finance.yahoo.com/quote/AMD/,51.50,63,source score 60; megacap crowding penalty; moderate YTD repricing penalty; high multiple haircut
44,NVDA,NVIDIA,US,United States,NASDAQ,AI accelerator,60,198.45,4858651350000,48.64,"core AI winner, but already highly owned; score is capped by crowding and valuation discovery.",76,198.45,USD,4851000000000.00,4851.00,5.08,2026-05-04,https://finance.yahoo.com/quote/NVDA/,55.00,51,source score 60; megacap crowding penalty
45,WAF.DE,Siltronic,Non-US,Germany,XETRA,materials / wafers,60,,,,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,20,79.5,EUR,,,55.88,2026-05-04,https://finance.yahoo.com/quote/WAF.DE/,58.00,40,source score 60; latest market cap unavailable; moderate YTD repricing penalty
46,4063.T,Shin-Etsu Chemical,Non-US,Japan,TSE,materials / wafers,59,,,,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,27,7104.0,JPY,,,43.69,2026-05-04,https://finance.yahoo.com/quote/4063.T/,57.00,44,source score 59; latest market cap unavailable; moderate YTD repricing penalty
47,4186.T,Tokyo Ohka Kogyo,Non-US,Japan,TSE,materials / wafers,59,,,,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,20,8931.0,JPY,,,48.73,2026-05-04,https://finance.yahoo.com/quote/4186.T/,57.00,45,source score 59; latest market cap unavailable; moderate YTD repricing penalty
48,NXPI,NXP Semiconductors,Non-US,Netherlands,NASDAQ,analog / power / RF,59,295.24,74850721000,28.23,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,295.24,USD,74540000000.00,74.54,33.42,2026-05-04,https://finance.yahoo.com/quote/NXPI/,58.00,41,source score 59; mid/large-cap valuation haircut
49,QCOM,Qualcomm,US,United States,NASDAQ,analog / power / RF,59,177.01,189754720000,18.99,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",22,177.035,USD,186595000000.00,186.59,2.34,2026-05-04,https://finance.yahoo.com/quote/QCOM/,56.00,48,source score 59; large-cap discovery penalty
50,2454.TW,MediaTek,Non-US,Taiwan,TWSE,analog / power / RF,58,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",21,2870.0,TWD,,,95.24,2026-05-04,https://finance.yahoo.com/quote/2454.TW/,56.00,49,source score 58; latest market cap unavailable; moderate YTD repricing penalty
51,7735.T,SCREEN Holdings,Non-US,Japan,TSE,wafer fab equipment,58,,,,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,20,10390.0,JPY,,,29.88,2026-05-04,https://finance.yahoo.com/quote/7735.T/,58.00,42,source score 58; latest market cap unavailable
52,IFX.DE,Infineon Technologies,Non-US,Germany,XETRA,analog / power / RF,58,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,58.12,EUR,,,51.89,2026-05-04,https://finance.yahoo.com/quote/IFX.DE/,56.00,50,source score 58; latest market cap unavailable; moderate YTD repricing penalty
53,STM,STMicroelectronics,Non-US,Switzerland/France/Italy,NYSE,analog / power / RF,58,55.75,50364967010,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,55.75,USD,49550000000.00,49.55,103.69,2026-05-04,https://finance.yahoo.com/quote/STM/,54.50,52,source score 58; mid-cap optionality credit; major YTD repricing penalty
54,AIXA.DE,Aixtron,Non-US,Germany,XETRA,analog / power / RF,57,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,49.12,EUR,,,150.74,2026-05-04,https://finance.yahoo.com/quote/AIXA.DE/,53.00,58,source score 57; latest market cap unavailable; major YTD repricing penalty
55,ASX,ASE Technology Holding,Non-US,Taiwan,NYSE ADR,OSAT / packaging,57,31.59,136468262970,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",65,31.59,USD,68912000000.00,68.91,87.37,2026-05-04,https://finance.yahoo.com/quote/ASX/,54.00,54,source score 57; mid/large-cap valuation haircut; moderate YTD repricing penalty
56,UMC,United Microelectronics,Non-US,Taiwan,NYSE ADR,foundry,56,13.05,163503893700,,"manufacturing tollgate in AI supply, with score influenced by pricing power, technology node, and geopolitical risk.",78,13.05,USD,32826000000.00,32.83,66.45,2026-05-04,https://finance.yahoo.com/quote/UMC/,54.50,53,source score 56; mid-cap optionality credit; moderate YTD repricing penalty
57,3105.TWO,WIN Semiconductors,Non-US,Taiwan,TPEx,foundry,55,,,,"manufacturing tollgate in AI supply, with score influenced by pricing power, technology node, and geopolitical risk.",34,524.0,TWD,,,192.74,2026-05-04,https://finance.yahoo.com/quote/3105.TWO/,51.00,65,source score 55; latest market cap unavailable; major YTD repricing penalty
58,MTSI,MACOM Technology Solutions,US,United States,NASDAQ,analog / power / RF,55,284.18,21801721240,128.59,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,284.18,USD,21317000000.00,21.32,62.43,2026-05-04,https://finance.yahoo.com/quote/MTSI/,52.00,60,source score 55; mid-cap optionality credit; moderate YTD repricing penalty; high multiple haircut
59,SMTC,Semtech,US,United States,NASDAQ,analog / power / RF,55,107.81,9452996420,156.25,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,107.81,USD,10039000000.00,10.04,43.25,2026-05-04,https://finance.yahoo.com/quote/SMTC/,52.00,61,source score 55; mid-cap optionality credit; moderate YTD repricing penalty; high multiple haircut
60,2379.TW,Realtek Semiconductor,Non-US,Taiwan,TWSE,analog / power / RF,54,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,528.0,TWD,,,8.31,2026-05-04,https://finance.yahoo.com/quote/2379.TW/,54.00,55,source score 54; latest market cap unavailable
61,3034.TW,Novatek Microelectronics,Non-US,Taiwan,TWSE,analog / power / RF,54,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,415.5,TWD,,,13.22,2026-05-04,https://finance.yahoo.com/quote/3034.TW/,54.00,56,source score 54; latest market cap unavailable
62,5347.TWO,Vanguard International Semiconductor,Non-US,Taiwan,TPEx,foundry,54,,,,"manufacturing tollgate in AI supply, with score influenced by pricing power, technology node, and geopolitical risk.",42,151.0,TWD,,,63.6,2026-05-04,https://finance.yahoo.com/quote/5347.TWO/,52.00,62,source score 54; latest market cap unavailable; moderate YTD repricing penalty
63,KLAC,KLA,US,United States,NASDAQ,wafer fab equipment,54,1726.26,227434755000,48.89,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,31,1726.26,USD,226817000000.00,226.82,35.45,2026-05-04,https://finance.yahoo.com/quote/KLAC/,51.00,66,source score 54; large-cap discovery penalty
64,MPWR,Monolithic Power Systems,US,United States,NASDAQ,analog / power / RF,54,1583.48,76073546160,40.62,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,1583.48,USD,77777000000.00,77.78,69.12,2026-05-04,https://finance.yahoo.com/quote/MPWR/,51.00,67,source score 54; mid/large-cap valuation haircut; moderate YTD repricing penalty
65,AMAT,Applied Materials,US,United States,NASDAQ,wafer fab equipment,53,389.08,310874920000,39.91,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,31,389.08,USD,308778000000.00,308.78,44.71,2026-05-04,https://finance.yahoo.com/quote/AMAT/,46.00,83,source score 53; megacap crowding penalty; moderate YTD repricing penalty
66,KLIC,Kulicke & Soffa,US,United States,NASDAQ,OSAT / packaging,53,86.33,4534137930,-72.55,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",65,86.33,USD,4518000000.00,4.52,78.55,2026-05-04,https://finance.yahoo.com/quote/KLIC/,52.50,59,source score 53; smaller-cap optionality credit; moderate YTD repricing penalty
67,LRCX,Lam Research,US,United States,NASDAQ,wafer fab equipment,53,256.72,322780474000,47.81,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,31,256.64,USD,321047000000.00,321.05,38.68,2026-05-04,https://finance.yahoo.com/quote/LRCX/,48.00,78,source score 53; megacap crowding penalty
68,TER,Teradyne,US,United States,NASDAQ,wafer fab equipment,53,345.42,54450627120,64.09,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,38,345.42,USD,54079000000.00,54.08,66.42,2026-05-04,https://finance.yahoo.com/quote/TER/,50.00,72,source score 53; mid/large-cap valuation haircut; moderate YTD repricing penalty
69,ACLS,Axcelis Technologies,US,United States,NASDAQ,wafer fab equipment,52,139.99,4402685500,33.09,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,20,139.99,USD,4302000000.00,4.30,62.55,2026-05-04,https://finance.yahoo.com/quote/ACLS/,51.50,64,source score 52; smaller-cap optionality credit; moderate YTD repricing penalty
70,AOSL,Alpha and Omega Semiconductor,US,United States,NASDAQ,analog / power / RF,52,43.08,1284473280,-12.31,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,43.01,USD,1293000000.00,1.29,108.18,2026-05-04,https://finance.yahoo.com/quote/AOSL/,49.50,74,source score 52; smaller-cap optionality credit; major YTD repricing penalty
71,PLAB,Photronics,US,United States,NASDAQ,materials / wafers,52,50.16,2928842400,21.44,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,62,50.16,USD,,,50.13,2026-05-04,https://finance.yahoo.com/quote/PLAB/,50.00,73,source score 52; latest market cap unavailable; moderate YTD repricing penalty
72,AMBA,Ambarella,US,United States,NASDAQ,analog / power / RF,51,71.56,2932902701,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,71.56,USD,3134000000.00,3.13,-4.79,2026-05-04,https://finance.yahoo.com/quote/AMBA/,54.00,57,source score 51; smaller-cap optionality credit; negative YTD optionality credit
73,COHU,Cohu,US,United States,NASDAQ,wafer fab equipment,51,45.59,2142547640,-38.31,levered to AI-driven fab and HBM capacity additions; upside depends on order timing and export-control risk.,27,45.59,USD,2150000000.00,2.15,85.25,2026-05-04,https://finance.yahoo.com/quote/COHU/,50.50,69,source score 51; smaller-cap optionality credit; moderate YTD repricing penalty
74,HIMX,Himax Technologies,Non-US,Taiwan,NASDAQ ADR,analog / power / RF,51,12.31,4301706148,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,12.31,USD,2006000000.00,2.01,44.31,2026-05-04,https://finance.yahoo.com/quote/HIMX/,50.50,70,source score 51; smaller-cap optionality credit; moderate YTD repricing penalty
75,SYNA,Synaptics,US,United States,NASDAQ,analog / power / RF,51,96.5,3753850000,-60.31,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,96.5,USD,,,27.41,2026-05-04,https://finance.yahoo.com/quote/SYNA/,51.00,68,source score 51; latest market cap unavailable
76,000990.KS,DB HiTek,Non-US,South Korea,KRX,foundry,50,,,,"manufacturing tollgate in AI supply, with score influenced by pricing power, technology node, and geopolitical risk.",34,161700.0,KRW,,,119.4,2026-05-04,https://finance.yahoo.com/quote/000990.KS/,46.00,84,source score 50; latest market cap unavailable; major YTD repricing penalty
77,6723.T,Renesas Electronics,Non-US,Japan,TSE,analog / power / RF,50,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,3205.0,JPY,,,44.04,2026-05-04,https://finance.yahoo.com/quote/6723.T/,48.00,79,source score 50; latest market cap unavailable; moderate YTD repricing penalty
78,6963.T,Rohm,Non-US,Japan,TSE,analog / power / RF,50,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,3487.0,JPY,,,53.11,2026-05-04,https://finance.yahoo.com/quote/6963.T/,48.00,80,source score 50; latest market cap unavailable; moderate YTD repricing penalty
79,LSCC,Lattice Semiconductor,US,United States,NASDAQ,semiconductor ecosystem,50,120.96,16704938880,604.8,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,120.96,USD,16319000000.00,16.32,53.8,2026-05-04,https://finance.yahoo.com/quote/LSCC/,47.00,82,source score 50; mid-cap optionality credit; moderate YTD repricing penalty; high multiple haircut
80,RMBS,Rambus,US,United States,NASDAQ,custom ASIC / interconnect,50,111.93,12280511880,53.3,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",25,111.93,USD,12131000000.00,12.13,12.74,2026-05-04,https://finance.yahoo.com/quote/RMBS/,50.50,71,source score 50; mid-cap optionality credit
81,108320.KS,LX Semicon,Non-US,South Korea,KRX,analog / power / RF,49,,,,"selective AI/edge/power exposure; less direct than HBM, advanced packaging and AI networking names.",20,63100.0,KRW,,,25.45,2026-05-04,https://finance.yahoo.com/quote/108320.KS/,49.00,75,source score 49; latest market cap unavailable
