Region,Rank in Region,Ticker,Company,Country,Exchange,Alpha Score,Theme,Current AI Chain Risk,Evidence Confidence,Latent Fit,Discovery Gap,Valuation Setup,Catalyst Density,Execution/Quality,Hype Penalty,Market Cap USD bn,PE Ratio,Market Cap Tier,Latent AI Pathway,Current AI Supply-Chain Screen,Valuation Note,Source URL,Bucket,Latest Price,Latest Currency,Latest Market Cap USD,Latest Market Cap USD bn,Latest YTD Return %,Market Data As Of,Market Data Source,Base Alpha Score,Price Rerating Penalty Score,AI2027 Price Adjusted Score,AI2027 Trend Bonus Score,AI2027 Trend Tags,AI2027 Trend Note
US,5,AZZ,AZZ,United States,NYSE,78.3,Metal coatings/infrastructure,Low,High,19,17,20,15,10,2,4.685,13.5092,,"Hot-dip galvanizing and coil coating could protect steel structures, poles, enclosures and distributed infrastructure as compute becomes more physical",No direct AI-supplier positioning found in company spot checks; critical infrastructure coatings focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.azz.com/,Materials / chemicals,156.08,USD,4685000000.0,4.685,42.23,2026-06-23,https://finance.yahoo.com/quote/AZZ/,77.8,0.0,77.8,0.5,,AI 2027/current overlay: no direct factor; bonus +0.5 after cap/YTD discipline.
US,6,MWA,Mueller Water Products,United States,NYSE,78.2,Water infrastructure,Low,High,20,17,17,14,11,2,4.054,21.3701,,"Water distribution, leak detection and smart utility products could be relevant as AI campuses pressure municipal water networks",No direct AI/data-center revenue positioning found; mainly water infrastructure and utility products.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.muellerwaterproducts.com/,Water / fluid systems,25.88,USD,4054000000.0,4.054,8.1,2026-06-23,https://finance.yahoo.com/quote/MWA/,77.7,0.0,77.7,0.5,,AI 2027/current overlay: no direct factor; bonus +0.5 after cap/YTD discipline.
Non-US,7,ROR.L,Rotork,United Kingdom,LSE,78.1,Flow control/actuators,Medium,High,21,16,15,14,11,4,3.345,,Mid,"Actuators and flow-control systems could fit coolant, water and industrial control loops",No direct AI infrastructure evidence found; flow-control products for industrial process markets.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.rotork.com/,Other,306.2,GBp,3344963881.64,3.345,-5.9,2026-06-23,https://finance.yahoo.com/quote/ROR.L/,73.0,0.0,73.0,5.1,physical_ai,AI 2027/current overlay: physical_ai; bonus +5.1 after cap/YTD discipline.
US,7,CTS,CTS Corporation,United States,NYSE,77.5,Sensors/electronic components,Medium,High,21,18,15,13,10,4,1.953,25.641,,"Sensors, filters, and connectivity components could support edge sensing, thermal monitoring and industrial automation",No direct AI build-out/fab evidence found in spot checks; automotive/industrial electronics focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.ctscorp.com/,Sensors / electronics,66.47,USD,1953181682.0,1.953,51.58,2026-06-23,https://finance.yahoo.com/quote/CTS/,73.0,0.0,73.0,4.5,power_grid,AI 2027/current overlay: power_grid; bonus +4.5 after cap/YTD discipline.
US,8,GGG,Graco,United States,NYSE,77.3,Fluid handling,Medium,High,23,14,13,14,12,5,12.487,26.2614,,"Precision equipment to move, meter, control and dispense fluids/powders could support future coolant, sealant or thermal-fluid handling",No direct AI infrastructure positioning found in spot checks; broad industrial fluid handling.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.graco.com/,Water / fluid systems,75.185,USD,12487000000.0,12.487,-9.02,2026-06-23,https://finance.yahoo.com/quote/GGG/,71.0,0.0,71.0,6.3,power_grid,AI 2027/current overlay: power_grid; bonus +6.3 after cap/YTD discipline.
Non-US,8,STM.DE,Stabilus,Germany,Xetra,77.0,Motion control,Low,High,16,17,14,12,9,1,0.475,,Mid,"Gas springs, dampers and electromechanical motion could support robotics, server-handling aids and automation hardware",No direct AI infrastructure evidence found; motion control across automotive/industrial.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.stabilus.com/,Motion / mechanical,16.26,EUR,474556555.2,0.475,-20.68,2026-06-23,https://finance.yahoo.com/quote/STM.DE/,67.0,0.0,67.0,10.0,"compute_factory,physical_ai","AI 2027/current overlay: compute_factory,physical_ai; bonus +10.0 after cap/YTD discipline."
US,9,TKR,Timken,United States,NYSE,77.0,Bearings/motion,Low,High,18,14,14,13,12,1,9.71,28.2979,,"Bearings and motion products could be used in robotics, automated warehouses, cooling equipment and specialty manufacturing",No direct AI supply chain positioning found; broad industrial and engineered bearings.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.timken.com/,Motion / mechanical,139.61,USD,9710000000.0,9.71,61.79,2026-06-23,https://finance.yahoo.com/quote/TKR/,69.2,0.0,69.2,7.8,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +7.8 after cap/YTD discipline."
Non-US,9,BFSA.DE,Befesa,Luxembourg/Germany,Xetra,76.7,Metals recycling,Low,High,17,20,17,14,8,1,1.509,,Small/mid,Steel dust and aluminum residue recycling could matter as AI build-out increases metal circularity demand,No direct AI supplier evidence found; recycling of steel dust and aluminum salt slags.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.befesa.com/,Recycling / critical materials,32.4,EUR,1509253123.74,1.509,8.14,2026-06-23,https://finance.yahoo.com/quote/BFSA.DE/,75.7,0.0,75.7,1.0,,AI 2027/current overlay: no direct factor; bonus +1.0 after cap/YTD discipline.
US,10,CXT,Crane NXT,United States,NYSE,76.4,Security/authentication tech,Low,Medium,17,17,19,11,8,1,2.605,16.9074,,"Authentication, sensing and secure transaction technology could support access, trusted hardware and anti-counterfeit supply-chain needs",No direct AI supply-chain positioning found; payment/security/authentication technology.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.cranenxt.com/,Security / safety,45.33,USD,2605000000.0,2.605,-5.03,2026-06-23,https://finance.yahoo.com/quote/CXT/,71.6,0.0,71.6,4.8,security_sovereign,AI 2027/current overlay: security_sovereign; bonus +4.8 after cap/YTD discipline.
Non-US,10,AMG.AS,AMG Critical Materials,Netherlands,Euronext Amsterdam,76.2,Critical materials,Medium,Medium,18,17,15,15,8,4,1.481,,Mid,"Vanadium, lithium and specialty materials could support energy storage/material bottlenecks adjacent to compute build-outs",No direct AI infrastructure supplier evidence found; critical materials and technologies.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://amg-nv.com/,Recycling / critical materials,35.94,EUR,1480829818.06,1.481,21.5,2026-06-23,https://finance.yahoo.com/quote/AMG.AS/,69.7,0.0,69.7,6.5,power_grid,AI 2027/current overlay: power_grid; bonus +6.5 after cap/YTD discipline.
Non-US,11,XTC.TO,Exco Technologies,Canada,TSX,76.0,Tooling/components,Low,High,17,19,15,12,7,1,0.205,,Small,"Die-casting tooling, extrusion tools and engineered components could support thermal housings and industrial reshoring","No direct AI infrastructure evidence found; tooling, die-casting and automotive components.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.excocorp.com/,Manufacturing / tooling,7.62,CAD,204780080.57,0.205,11.57,2026-06-23,https://finance.yahoo.com/quote/XTC.TO/,69.0,0.0,69.0,7.0,power_grid,AI 2027/current overlay: power_grid; bonus +7.0 after cap/YTD discipline.
Non-US,12,KOMN.SW,Komax,Switzerland,SIX,75.5,Wire processing automation,Medium,Medium,18,16,14,13,8,3,0.331,,Small/mid,"Wire-processing automation could support high-volume harness manufacturing for robotics, power and industrial modules",No direct AI infrastructure evidence found; wire processing automation.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.komaxgroup.com/,Manufacturing / tooling,42.7,CHF,330784461.7,0.331,-34.41,2026-06-23,https://finance.yahoo.com/quote/KOMN.SW/,65.5,0.0,65.5,10.0,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
Non-US,13,LEHN.SW,LEM Holding,Switzerland,SIX,75.3,Current sensing,Medium,Medium,20,16,13,14,9,5,0.677,,Small/mid,"Current and voltage sensors could become useful in high-voltage power monitoring and robotics, before AI-specific demand appears","No direct AI-data-center supplier evidence found; official source emphasizes current/voltage sensing for EV, grid, automation and power supplies.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.lem.com/,Sensors / electronics,454.0,CHF,677236479.44,0.677,57.91,2026-06-23,https://finance.yahoo.com/quote/LEHN.SW/,66.5,0.0,66.5,8.8,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +8.8 after cap/YTD discipline."
Non-US,14,MELE.BR,Melexis,Belgium,Euronext Brussels,74.7,Automotive sensors,Medium,Medium,19,15,13,13,9,5,3.81,,Mid,"Magnetic/current/position sensor ICs for automotive could be repurposed for power and thermal sensing, but not AI accelerators",No direct AI data-center semiconductor evidence found; fabless sensors/driver ICs mostly automotive.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.melexis.com/,Sensors / electronics,81.25,EUR,3809626839.12,3.81,38.3,2026-06-23,https://finance.yahoo.com/quote/MELE.BR/,64.7,0.0,64.7,10.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +10.0 after cap/YTD discipline."
US,11,KMT,Kennametal,United States,NYSE,74.1,Cutting tools/materials,Low,High,18,16,13,12,9,1,2.706,30.2587,,Carbide tooling and wear-resistant materials could enable reshoring of precision thermal/mechanical components,No direct AI infrastructure exposure found; broad tooling and materials end-markets.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.kennametal.com/,Manufacturing / tooling,35.39,USD,2706000000.0,2.706,22.08,2026-06-23,https://finance.yahoo.com/quote/KMT/,67.6,0.0,67.6,6.5,power_grid,AI 2027/current overlay: power_grid; bonus +6.5 after cap/YTD discipline.
Non-US,15,IMI.L,IMI,United Kingdom,LSE,74.0,Precision fluid control,Medium,Medium,21,14,12,14,12,5,9.408,,Large,"Precision valves and fluid-control systems could move into cooling, water treatment or industrial automation components",No direct AI infrastructure supplier evidence found; precision engineering across industrial sectors.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.imiplc.com/,Water / fluid systems,2942.0,GBp,9407611005.72,9.408,17.68,2026-06-23,https://finance.yahoo.com/quote/IMI.L/,68.0,0.0,68.0,6.0,power_grid,AI 2027/current overlay: power_grid; bonus +6.0 after cap/YTD discipline.
Non-US,16,NOEJ.DE,NORMA Group,Germany,Xetra,73.5,Fluid connectors/clamps,Medium,High,20,18,16,13,8,3,0.576,,Small/mid,"Engineered joining and fluid connectors could be used in liquid loops, compact manifolds and industrial automation",No direct AI-data-center supplier evidence found; industrial joining technology.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.normagroup.com/,Water / fluid systems,17.5,EUR,576423823.02,0.576,18.89,2026-06-23,https://finance.yahoo.com/quote/NOEJ.DE/,72.0,0.0,72.0,1.5,,AI 2027/current overlay: no direct factor; bonus +1.5 after cap/YTD discipline.
US,12,SXI,Standex International,United States,NYSE,73.1,Sensors/magnetics/components,Medium,Medium,21,16,8,13,10,4,3.747,60.3386,,"Reed sensors, magnetics, electronics and hydraulics could be useful in liquid-cooling instrumentation and robotics",No direct AI/data-center/fab evidence found; diversified electronics/engraving/specialty solutions.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.standex.com/,Sensors / electronics,317.06,USD,3747000000.0,3.747,41.0,2026-06-23,https://finance.yahoo.com/quote/SXI/,63.3,0.0,63.3,9.8,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +9.8 after cap/YTD discipline."
Non-US,17,WJX.TO,Wajax,Canada,TSX,73.0,Industrial distribution,Low,High,16,18,15,11,7,1,0.469,,Small/mid,"Industrial equipment distribution could capture fragmented pumps, powertrain, MRO and service demand in secondary markets","No direct AI supplier evidence found; equipment, power systems and industrial components distribution.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.wajax.com/,Distribution / MRO,30.43,CAD,468685880.29,0.469,10.09,2026-06-23,https://finance.yahoo.com/quote/WJX.TO/,66.0,0.0,66.0,7.0,power_grid,AI 2027/current overlay: power_grid; bonus +7.0 after cap/YTD discipline.
Non-US,18,DSCV.L,discoverIE Group,United Kingdom,LSE,73.0,Custom electronics,Medium,High,20,18,15,14,9,4,0.913,,Small/mid,Custom electronic components for industrial sensing/control could be adapted for coolant sensing and edge device telemetry,No direct AI infrastructure/fab evidence found; custom electronics for industrial applications.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.discoverieplc.com/,Sensors / electronics,696.0,GBp,913234711.2,0.913,17.77,2026-06-23,https://finance.yahoo.com/quote/DSCV.L/,72.0,0.0,72.0,1.0,,AI 2027/current overlay: no direct factor; bonus +1.0 after cap/YTD discipline.
Non-US,19,KGX.DE,KION Group,Germany,Xetra,72.9,Intralogistics,Low,High,17,15,14,13,9,2,6.228,,Mid/large,"Forklifts, warehouse automation and supply-chain systems could benefit from physical AI logistics build-out",No direct AI supply-chain supplier evidence found; intralogistics and automation focus.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.kiongroup.com/,Industrial equipment,40.92,EUR,6228230400.0,6.228,-41.38,2026-06-23,https://finance.yahoo.com/quote/KGX.DE/,67.2,0.0,67.2,5.7,physical_ai,AI 2027/current overlay: physical_ai; bonus +5.7 after cap/YTD discipline.
US,13,NGVT,Ingevity,United States,NYSE,72.8,Specialty chemicals/carbon,Low,Medium,17,18,14,12,7,1,2.529,-42.3207,,"Activated carbon and specialty materials could support filtration, adsorption, coatings or battery-adjacent infrastructure niches",No direct AI/data-center/fab evidence found; specialty chemicals/materials focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.ingevity.com/,Materials / chemicals,72.38,USD,2529292730.0,2.529,20.45,2026-06-23,https://finance.yahoo.com/quote/NGVT/,66.3,0.0,66.3,6.5,power_grid,AI 2027/current overlay: power_grid; bonus +6.5 after cap/YTD discipline.
US,14,AIT,Applied Industrial Technologies,United States,NYSE,72.7,Industrial distribution/motion,Medium,Medium,18,13,14,12,10,3,12.495,29.7819,,"Motion, bearings, flow control and automation distribution could aggregate latent demand before OEMs become obvious suppliers","No direct AI supplier evidence found; MRO, bearings, fluid power and automation distribution.","Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.applied.com/,Distribution / MRO,333.4,USD,12494912025.0,12.495,28.41,2026-06-23,https://finance.yahoo.com/quote/AIT/,63.4,0.0,63.4,9.3,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +9.3 after cap/YTD discipline."
US,15,HURC,Hurco,United States,NASDAQ,72.5,CNC/tooling,Low,High,18,20,15,12,5,1,0.139,-7.6018,,CNC machines could support localized prototyping and specialty manufacturing for hard-to-source AI infrastructure parts,No direct AI/fab supplier positioning found; machine tools for general manufacturing.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.hurco.com/,Manufacturing / tooling,21.99,USD,139241000.0,0.139,34.5,2026-06-23,https://finance.yahoo.com/quote/HURC/,71.0,0.0,71.0,1.5,,AI 2027/current overlay: no direct factor; bonus +1.5 after cap/YTD discipline.
US,16,HAYW,Hayward Holdings,United States,NYSE,72.3,Pumps/filtration,Low,High,17,18,17,11,9,1,3.199,20.4384,,"Pool pumps, controls and filtration capabilities could be adapted toward smaller liquid-management and heat-exchange niches",No direct AI/data-center/fab exposure found; consumer/commercial pool equipment focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.hayward.com/,Water / fluid systems,14.705,USD,3199000000.0,3.199,-6.75,2026-06-23,https://finance.yahoo.com/quote/HAYW/,71.0,0.0,71.0,1.3,,AI 2027/current overlay: no direct factor; bonus +1.3 after cap/YTD discipline.
Non-US,20,ELK.OL,Elkem,Norway,Oslo,72.3,Silicones/carbon materials,Medium,Medium,19,17,15,13,7,4,1.176,,Mid,"Silicones and carbon solutions could support thermal, sealing or battery-adjacent materials if demand spills outside incumbents","No direct AI/fab supply-chain evidence found in spot checks; silicones, silicon products and carbon solutions.",Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.elkem.com/,Materials / chemicals,31.58,NOK,1175631678.26,1.176,3.27,2026-06-23,https://finance.yahoo.com/quote/ELK.OL/,65.8,0.0,65.8,6.5,power_grid,AI 2027/current overlay: power_grid; bonus +6.5 after cap/YTD discipline.
US,17,FELE,Franklin Electric,United States,NASDAQ,72.2,Pumps/water systems,Medium,High,21,17,13,13,11,4,4.614,30.4157,,"Groundwater, fueling, and pumping systems could serve water-constrained compute campuses or edge facilities",No obvious AI/data-center supplier positioning found; current focus is water/fuel pumping systems.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.franklin-electric.com/,Water / fluid systems,104.33,USD,4613950487.0,4.614,7.56,2026-06-23,https://finance.yahoo.com/quote/FELE/,71.7,0.0,71.7,0.5,,AI 2027/current overlay: no direct factor; bonus +0.5 after cap/YTD discipline.
US,18,ATRO,Astronics,United States,NASDAQ,72.1,Aerospace electronics/test,Low,Medium,18,18,14,13,6,1,4.039,-977.375,,"Aerospace power, lighting, connectivity and test systems could be adapted to rugged edge compute and high-reliability electronics niches",No direct AI build-out evidence found; aerospace/defense/test products.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.astronics.com/,Sensors / electronics,83.525,USD,4039000000.0,4.039,84.87,2026-06-23,https://finance.yahoo.com/quote/ATRO/,67.3,0.7,66.6,5.5,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus +5.5 after cap/YTD discipline."
US,19,KAI,Kadant,United States,NYSE,72.0,Process fluid systems,Medium,Medium,20,15,11,13,11,4,3.588,37.8636,,"Fluid handling, filtration and industrial process systems could be redirected toward water reuse/thermal process control",No direct AI supply chain positioning found; process industries remain core.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.kadant.com/,Water / fluid systems,305.04,USD,3588000000.0,3.588,6.51,2026-06-23,https://finance.yahoo.com/quote/KAI/,66.0,0.0,66.0,6.0,power_grid,AI 2027/current overlay: power_grid; bonus +6.0 after cap/YTD discipline.
Non-US,21,SUN.SW,Sulzer,Switzerland,SIX,71.9,Fluid engineering,Medium,High,22,15,14,13,10,4,5.883,,Mid,"Pumping, mixing, separation and purification could transfer into coolant quality, water reuse and process-control niches",No direct AI-data-center supplier evidence found; fluid engineering across essential industries.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.sulzer.com/,Water / fluid systems,140.6,CHF,5883101812.12,5.883,-7.38,2026-06-23,https://finance.yahoo.com/quote/SUN.SW/,70.6,0.0,70.6,1.3,,AI 2027/current overlay: no direct factor; bonus +1.3 after cap/YTD discipline.
US,20,DXPE,DXP Enterprises,United States,NASDAQ,71.6,Industrial distribution/pumps,Medium,Medium,18,18,13,12,9,3,2.577,34.4421,,"Distributor/integrator of pumps, rotating equipment and MRO could aggregate fragmented cooling/water components if demand spills over",No direct AI-specific supplier evidence found; broad industrial distribution.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.dxpe.com/,Distribution / MRO,166.215,USD,2577000000.0,2.577,54.3,2026-06-23,https://finance.yahoo.com/quote/DXPE/,67.1,0.0,67.1,4.5,power_grid,AI 2027/current overlay: power_grid; bonus +4.5 after cap/YTD discipline.
US,21,MSA,MSA Safety,United States,NYSE,71.5,Safety sensors/PPE,Low,High,16,14,16,11,12,1,6.202,23.4777,,"Gas detection, flame detection and worker safety could support critical compute/factory sites and autonomous-industrial safety",No direct AI supplier evidence found; safety products and detection systems.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://www.msasafety.com/,Security / safety,164.6,USD,6202000000.0,6.202,1.45,2026-06-23,https://finance.yahoo.com/quote/MSA/,68.0,0.0,68.0,3.5,security_sovereign,AI 2027/current overlay: security_sovereign; bonus +3.5 after cap/YTD discipline.
Non-US,22,DUE.DE,Dürr,Germany,Xetra,71.4,Automation/process tech,Low,High,18,16,14,13,9,1,1.533,,Mid,"Factory automation, environmental systems and surface processing could support reshored hardware/component production",No direct AI infrastructure/fab exposure found in spot checks; broad mechanical/process engineering.,Qualitative valuation setup; no reliable non-US quote snapshot returned by finance tool,https://www.durr-group.com/,Manufacturing / tooling,18.66,EUR,1532782612.18,1.533,-18.16,2026-06-23,https://finance.yahoo.com/quote/DUE.DE/,69.6,0.0,69.6,1.8,,AI 2027/current overlay: no direct factor; bonus +1.8 after cap/YTD discipline.
US,22,ESAB,ESAB,United States,NYSE,71.2,Fabrication/welding,Low,High,17,15,14,13,10,1,6.227,25.6389,,Fabrication systems and specialty welding could support industrial reshoring and modular infrastructure fabrication,No direct AI/data-center/fab evidence found; welding/cutting/fabrication focus.,"Live US quote snapshot via finance tool, 2026-05-06 UTC",https://esab.com/,Manufacturing / tooling,100.56,USD,6226981503.0,6.227,-10.67,2026-06-23,https://finance.yahoo.com/quote/ESAB/,69.9,0.0,69.9,1.3,,AI 2027/current overlay: no direct factor; bonus +1.3 after cap/YTD discipline.
