alpha_rank,ticker,name,region,country,exchange,role,category,alpha_score,market_cap_usd_b,revenue_ttm_usd_b,ps_ratio,price_display,connection_count,alpha_thesis,notes
14,ACLS,Axcelis Technologies,US,United States,NASDAQ,Ion implantation equipment,Wafer equipment,73.1,4.5,1.0,4.5,n/a,93,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Implant equipment exposure to power/SiC and mature-node capacity.
15,ACMR,ACM Research,US,United States,NASDAQ,Wafer-clean equipment,Wafer equipment,72.0,3.45,0.7,4.93,n/a,93,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",China/Asia WFE growth lever with geopolitical and customer concentration risk.
16,0522.HK,ASMPT,Non-US,Hong Kong/Singapore,HKEX,Packaging and SMT equipment,Packaging / equipment,71.8,8.69,1.8,4.83,n/a,88,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Assembly/packaging equipment lever; advanced packaging optionality.
17,6525.T,Kokusai Electric,Non-US,Japan,TSE,Batch deposition/thermal processing WFE,Wafer equipment,71.7,9.66,2.0,4.83,n/a,94,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Deposition/thermal process exposure to memory/logic capex.
18,SMTC,Semtech,US,United States,NASDAQ,"Signal integrity, optical PMDs, IoT",Optical / signal integrity,71.6,10.03,0.9,11.14,n/a,34,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Optical PMD and high-speed signal products can benefit from data-center optical upgrade cycles.
19,6488.TWO,GlobalWafers,Non-US,Taiwan,TPEx,Silicon wafers,Materials / wafers,71.3,8.77,2.5,3.51,n/a,33,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Silicon wafer supplier to foundries/IDMs; volume and ASP leverage to fab starts.
20,3661.TW,Alchip Technologies,Non-US,Taiwan,TWSE,ASIC design services,AI ASIC / design services,70.2,10.63,0.9,11.81,n/a,57,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Custom AI ASIC design-services lever; customer concentration and export risk.
21,CAMT,Camtek,Non-US,Israel,NASDAQ/TASE,Inspection/metrology for wafers/packages,Metrology / inspection,70.0,8.68,0.48,18.08,n/a,64,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Advanced packaging/compound semiconductor inspection exposure.
22,ICHR,Ichor Holdings,US,United States,NASDAQ,Fluid delivery subsystems for WFE,WFE subsystems,69.7,2.23,0.9,2.48,n/a,38,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Subassembly supplier with WFE-cycle leverage.
23,ASX,ASE Technology,Non-US,Taiwan,NYSE/TWSE,OSAT packaging and test,Packaging / OSAT,69.1,69.3,20.85,3.32,n/a,27,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Advanced packaging/test supplier to AI chip supply chain.
24,5347.TWO,Vanguard International Semiconductor,Non-US,Taiwan,TPEx,Specialty foundry,Foundry / specialty,69.1,8.85,1.5,5.9,n/a,39,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Specialty/mature-node foundry cash flows.
25,AEHR,Aehr Test Systems,US,United States,NASDAQ,Wafer-level burn-in/test systems,Test / reliability,68.6,2.92,0.053,55.09,n/a,39,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Wafer-level test for SiC/photonic/power devices; small-revenue base creates both optionality and volatility.
26,PDFS,PDF Solutions,US,United States,NASDAQ,Yield analytics/software for semis,EDA / analytics,68.6,1.77,0.21,8.43,n/a,22,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Analytics layer for fab/yield optimization; software-like economics but small scale.
27,FORM,FormFactor,US,United States,NASDAQ,Probe cards and test interfaces,Test / probe,68.2,10.7,0.8,13.37,n/a,64,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.","Probe-card exposure to HBM, logic, and advanced packaging test complexity."
28,7735.T,SCREEN Holdings,Non-US,Japan,TSE,Cleaning/coater-developer WFE,Wafer equipment,68.2,12.51,3.5,3.57,n/a,93,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.","WFE upcycle exposure, especially cleaning process intensity."
29,GFS,GlobalFoundries,US,United States,NASDAQ,"Specialty foundry: RF-SOI, SiPh-adjacent, embedded NVM",Foundry / specialty,68.1,35.64,6.8,5.24,n/a,39,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Specialty foundry with RF-SOI relationship to Soitec; potential SiPh/specialty process leverage.
30,MTSI,MACOM Technology Solutions,US,United States,NASDAQ,"RF, microwave, optical/networking semis",RF / photonics,67.9,21.31,0.75,28.41,n/a,60,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.","Laser drivers, TIAs and high-speed semis used around optical interconnects."
31,AIXA.F,Aixtron,Non-US,Germany,XETRA/FSE,MOCVD equipment for compound semis,Compound equipment,67.8,6.21,0.7,8.87,n/a,60,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.","MOCVD equipment lever to GaN, SiC, lasers and compound photonics."
32,COHR,Coherent,US,United States,NYSE,"Lasers, SiPh, optical transceivers/materials",Photonics / CPO,67.0,61.78,5.8,10.65,329.50 USD,34,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.","Broad optical component supplier: lasers, indium phosphide, SiPh, transceivers and materials."
33,POET,POET Technologies,Non-US,Canada,NASDAQ/TSXV,"Optical Interposer, optical engines, light sources",Photonics / CPO,66.1,0.447,0.001,447.0,7.31 USD,37,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",High-upside CPO optical-engine story; major caveat is cancellation of Celestial AI purchase orders after Marvell acquisition.
34,ENTG,Entegris,US,United States,NASDAQ,"Materials, filters, advanced chemicals",Materials / consumables,65.6,21.66,3.5,6.19,n/a,33,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Recurring consumables/materials cash flows for leading-edge fabs and advanced packaging.
35,ONTO,Onto Innovation,US,United States,NYSE,Metrology/inspection for wafers and packaging,Metrology / inspection,65.6,14.57,1.1,13.25,n/a,38,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.",Advanced packaging and specialty-device inspection beneficiary.
36,2379.TW,Realtek Semiconductor,Non-US,Taiwan,TWSE,Networking/audio/controller ICs,Networking / edge,65.1,8.75,3.5,2.5,n/a,50,"Positive alpha screen: attractive theme but either valuation, risk, scale, or crowding reduces asymmetry.","Networking/controller cash flows, less direct CPO but data-connectivity adjacency."
37,MRVL,Marvell Technology,US,United States,NASDAQ,"Data-center ASICs, DSPs, optical interconnect silicon",AI ASIC / networking,64.7,144.24,7.5,19.23,n/a,57,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",AI custom silicon and electro-optical interconnect exposure; recent Celestial AI acquisition changes POET counterparty risk.
38,6963.T,Rohm,Non-US,Japan,TSE,Analog/power/SiC semis,Power / SiC,64.4,8.57,3.0,2.86,n/a,59,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",SiC/power-cycle lever; balance of auto/industrial demand matters.
39,BESI.AS,BE Semiconductor Industries,Non-US,Netherlands,Euronext,Advanced packaging/die attach/hybrid bonding,Packaging / equipment,64.1,22.97,0.9,25.52,n/a,86,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Hybrid bonding/advanced packaging equipment beta.
40,6920.T,Lasertec,Non-US,Japan,TSE,EUV mask inspection,Metrology / inspection,64.0,24.5,1.3,18.85,n/a,39,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",EUV mask inspection choke point; valuation/cycle risk.
41,3443.TW,Global Unichip,Non-US,Taiwan,TWSE,ASIC design services,AI ASIC / design services,63.9,18.05,0.9,20.06,n/a,57,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",TSMC-linked ASIC services levered to custom AI chip demand.
42,UMC,United Microelectronics,Non-US,Taiwan,NYSE/TWSE,Specialty/mature foundry,Foundry / specialty,63.7,32.82,7.5,4.38,n/a,39,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Mature/specialty-node foundry cash flows; less leading-edge upside than TSMC.
43,TPRO.MI,Technoprobe,Non-US,Italy,Borsa Italiana,Probe cards/test interfaces,Test / probe,63.4,13.84,0.56,24.71,n/a,64,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Probe-card exposure to high-end SoCs and memory; strong advanced test theme.
44,QRVO,Qorvo,US,United States,NASDAQ,"RF, power, connectivity",RF / analog,63.3,8.66,3.9,2.22,n/a,26,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",RF/mobile cycle with some defense/power optionality.
45,3529.TWO,eMemory Technology,Non-US,Taiwan,TPEx,Embedded NVM IP,IP / embedded memory,63.3,9.2,0.25,36.8,n/a,47,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",IP royalty/licensing cash flows for embedded NVM in specialty foundry nodes.
46,SWKS,Skyworks Solutions,US,United States,NASDAQ,RF front-end and analog,RF / analog,63.2,10.43,4.2,2.48,n/a,26,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Mobile/RF cycle; limited CPO exposure.
47,3105.TWO,WIN Semiconductors,Non-US,Taiwan,TPEx,GaAs/RF foundry,RF / compound foundry,63.0,7.18,0.53,13.55,n/a,98,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",RF/compound foundry with optical/RF adjacency.
48,NVMI,Nova,Non-US,Israel,NASDAQ/TASE,Metrology/process control,Metrology / inspection,62.9,15.71,0.6,26.18,n/a,38,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Optical/X-ray metrology beneficiary of advanced-node and packaging complexity.
49,POWI,Power Integrations,US,United States,NASDAQ,High-voltage power conversion ICs,Power / analog,61.9,4.08,0.44,9.27,n/a,26,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Power conversion cash flows; AI server power density is an optional tailwind.
50,8035.T,Tokyo Electron,Non-US,Japan,TSE,"Coat/develop, etch, deposition WFE",Wafer equipment,61.8,138.04,15.0,9.2,n/a,92,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Japan WFE leader leveraged to advanced logic/memory capex.
51,6146.T,DISCO,Non-US,Japan,TSE,Dicing/grinding equipment,Packaging / equipment,61.8,49.9,2.5,19.96,n/a,88,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",HBM/advanced packaging wafer thinning/dicing intensity.
52,2408.TW,Nanya Technology,Non-US,Taiwan,TWSE,DRAM memory,Memory,61.6,21.12,2.0,10.56,n/a,25,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Memory-cycle recovery; not HBM leader but DRAM beta.
53,ASM.AS,ASM International,Non-US,Netherlands,Euronext,ALD/epitaxy deposition equipment,Wafer equipment,61.4,47.63,3.0,15.88,n/a,92,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",ALD process intensity at advanced nodes and 3D structures.
54,600703.SS,Sanan Optoelectronics,Non-US,China,SSE,Compound semiconductor/LED/GaN/SiC,Compound semis,61.4,9.99,2.0,5.0,n/a,33,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Compound semiconductor capacity; optical/power materials optionality.
55,042700.KS,Hanmi Semiconductor,Non-US,South Korea,KRX,Packaging bonders/HBM equipment,Packaging / HBM equipment,61.2,23.7,0.7,33.86,n/a,113,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",HBM packaging equipment lever; customer concentration and valuation risk.
56,CRUS,Cirrus Logic,US,United States,NASDAQ,Audio/mixed-signal ICs,Mixed-signal,59.7,8.37,2.0,4.18,n/a,26,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Concentrated consumer electronics exposure; cash-generative but less AI-infrastructure levered.
57,SIMO,Silicon Motion,Non-US,Taiwan,NASDAQ,NAND controllers and storage semis,Storage controllers,59.7,7.96,0.9,8.84,n/a,22,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",AI servers need storage controllers but this is more indirect than HBM/CPO.
58,0981.HK,SMIC,Non-US,China,HKEX/SSE,Chinese foundry,Foundry / logic,59.2,72.51,8.0,9.06,n/a,39,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",China localization foundry lever; export controls and node limits are core risks.
59,688126.SS,National Silicon Industry Group,Non-US,China,SSE STAR,Silicon wafers/materials,Materials / wafers,59.0,9.97,0.48,20.77,n/a,33,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",China silicon-wafer localization lever.
60,ALGM,Allegro MicroSystems,US,United States,NASDAQ,Power/sensing semiconductors,Power / sensors,58.0,9.07,1.0,9.07,n/a,26,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Auto/industrial sensing and power; less direct CPO beta.
61,KLAC,KLA,US,United States,NASDAQ,Process control and inspection,Metrology / inspection,57.9,226.81,12.0,18.9,n/a,38,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Yield-control choke point for leading-edge nodes and packaging.
62,TSEM,Tower Semiconductor,Non-US,Israel,NASDAQ/TASE,Specialty analog/RF/SiGe foundry,Foundry / specialty,57.7,25.94,1.5,17.29,n/a,39,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Specialty RF/analog foundry exposure to photonics/RF ecosystems.
63,AMAT,Applied Materials,US,United States,NASDAQ,Deposition/etch/metrology WFE,Wafer equipment,57.2,308.77,28.21,10.95,n/a,92,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.","Broadest WFE exposure across logic, memory, packaging and materials engineering."
64,LRCX,Lam Research,US,United States,NASDAQ,Etch/deposition wafer-fab equipment,Wafer equipment,57.1,321.04,20.56,15.61,n/a,92,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Memory and advanced logic process intensity; strong service/spares cash flows.
65,AMBA,Ambarella,US,United States,NASDAQ,AI vision processors,Edge AI,56.9,3.13,0.25,12.52,n/a,26,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Computer vision/edge AI recovery story; not core data-center CPO.
66,002371.SZ,NAURA Technology,Non-US,China,SZSE,China wafer-fab equipment,Wafer equipment,56.9,57.01,3.5,16.29,n/a,94,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",China WFE localization lever; geopolitical limits and valuation risk.
67,6857.T,Advantest,Non-US,Japan,TSE,Semiconductor test systems,Test / ATE,56.5,128.51,5.0,25.7,n/a,64,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",ATE beneficiary of AI/HBM/advanced packaging test intensity.
68,ON,onsemi,US,United States,NASDAQ,"Power semis, sensors, SiC",Power / SiC,55.9,40.52,7.0,5.79,n/a,59,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Auto/industrial power cycle; SiC optionality but near-term EV digestion risk.
69,STM,STMicroelectronics,Non-US,Switzerland/France/Italy,NYSE/Euronext,"MCU, power, sensors, automotive",Power / MCU,55.9,49.55,13.5,3.67,n/a,26,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Auto/industrial power and MCU cycle; less direct AI/CPO beta.
70,NXPI,NXP Semiconductors,Non-US,Netherlands,NASDAQ,Auto/industrial/edge semis,Auto / edge,55.6,74.53,13.0,5.73,n/a,26,"Watchlist: useful ecosystem node, but evidence of under-discovery or upside-to-valuation is mixed.",Automotive/industrial embedded cash flows; AI-infrastructure exposure indirect.
71,SNPS,Synopsys,US,United States,NASDAQ,EDA software and semiconductor IP,EDA / IP,54.8,93.67,7.0,13.38,n/a,22,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",EDA subscription/maintenance cash flows tied to chip design complexity.
72,6723.T,Renesas Electronics,Non-US,Japan,TSE,Auto/industrial MCUs and analog,Auto / edge,54.6,37.03,9.0,4.11,n/a,26,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",Auto/industrial MCU franchise; direct AI datacenter beta limited.
73,IFX.DE,Infineon Technologies,Non-US,Germany,XETRA,"Power, automotive, security semis",Power / automotive,54.5,87.27,16.0,5.45,n/a,26,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",Power/auto industrial semis; less direct CPO but strong power electronics franchise.
74,1347.HK,Hua Hong Semiconductor,Non-US,China,HKEX/SSE,Mature-node foundry,Foundry / specialty,54.3,25.3,2.5,10.12,n/a,39,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",China mature-node foundry; localization tailwind offset by price/geo risk.
75,QCOM,Qualcomm,US,United States,NASDAQ,"Mobile/edge AI SoCs, connectivity IP",Mobile / edge AI,53.8,186.56,44.86,4.16,n/a,50,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.","AI PC/phone, automotive and connectivity optionality; handset cycle remains key."
76,005930.KS,Samsung Electronics,Non-US,South Korea,KRX,"Memory, foundry, logic, consumer electronics",HBM / foundry / IDM,53.7,983.49,235.65,4.17,n/a,64,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",HBM and foundry optionality; huge diversified base dilutes pure semiconductor alpha.
77,SLAB,Silicon Labs,US,United States,NASDAQ,IoT wireless MCUs,IoT / edge,53.5,7.19,0.7,10.27,n/a,26,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",IoT cycle recovery lever; indirect semiconductor beta.
78,603986.SS,GigaDevice,Non-US,China,SSE,"NOR flash, MCU, memory",Memory / MCU,52.5,32.14,1.2,26.78,n/a,52,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",China memory/MCU localization lever; cyclical and geopolitical risk.
79,2454.TW,MediaTek,Non-US,Taiwan,TWSE,"Mobile, TV, edge AI SoCs",Mobile / edge AI,51.6,131.77,18.0,7.32,n/a,50,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",Large fabless SoC vendor; edge AI and connectivity upside.
80,AMD,Advanced Micro Devices,US,United States,NASDAQ,"AI GPUs, CPUs, adaptive compute",AI compute,50.9,587.82,34.63,16.97,n/a,26,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",MI-series accelerator ramp; relies heavily on foundry/packaging/HBM ecosystem.
81,AAOI,Applied Optoelectronics,US,United States,NASDAQ,Datacenter optical transceivers/modules,Optical modules,49.5,11.62,0.45,25.82,183.51 USD,34,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.","AI transceiver upside, but very large stock move means much of the first-order discovery may already be priced in."
82,MCHP,Microchip Technology,US,United States,NASDAQ,"MCUs, analog, FPGA, connectivity",Embedded / analog,49.5,50.83,4.5,11.3,n/a,26,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",Industrial/auto embedded cash flow; less direct optical-AI beta.
83,LSCC,Lattice Semiconductor,US,United States,NASDAQ,Low-power FPGA,FPGA / edge AI,49.4,16.55,0.52,31.83,n/a,26,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",Edge/embedded FPGA franchise; AI datacenter exposure less direct.
84,MU,Micron Technology,US,United States,NASDAQ,HBM/DRAM/NAND memory,HBM / memory,48.4,611.46,58.11,10.52,n/a,25,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",HBM and high-capacity DRAM/NAND beneficiary of AI server builds; cyclicality and capex discipline are watch items.
85,SITM,SiTime,US,United States,NASDAQ,MEMS timing solutions,Timing / infrastructure,48.2,14.74,0.32,46.06,n/a,22,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",Precision timing is needed across networking/data-center systems; valuation risk.
86,ARM,Arm Holdings,Non-US,United Kingdom,NASDAQ,CPU IP licensing and royalties,IP / CPU architecture,48.0,224.27,4.0,56.07,n/a,45,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.","IP royalty model across mobile, server, edge AI and custom silicon."
87,INTC,Intel,US,United States,NASDAQ,"IDM, CPU, foundry, packaging",Foundry / IDM,47.3,500.69,52.85,9.47,n/a,39,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",Turnaround/foundry optionality; large capex and execution risk.
88,MPWR,Monolithic Power Systems,US,United States,NASDAQ,Power-management semiconductors,Power / analog,47.0,77.77,2.6,29.91,n/a,26,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",AI server power-management beta; rich valuation but high gross margin.
89,ALAB,Astera Labs,US,United States,NASDAQ,AI data-center connectivity silicon,AI interconnect,46.4,34.71,0.7,49.59,n/a,58,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",Retimers and connectivity silicon for AI server clusters; very high growth and high valuation.
90,300308.SZ,Zhongji Innolight,Non-US,China,SZSE,High-speed optical transceiver modules,Optical modules,46.4,135.0,7.1,19.01,846.00 CNY,34,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.","Innolight was named in the screenshot; huge AI-optical module growth, but no longer undiscovered."
91,TXN,Texas Instruments,US,United States,NASDAQ,Analog and embedded processing,Analog / power,46.2,255.75,17.8,14.37,n/a,26,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",Industrial/auto analog cash compounder; not primarily a CPO/AI optical beta.
92,CRDO,Credo Technology,US,United States,NASDAQ,"SerDes/DSP, AEC and optical connectivity",AI interconnect,46.1,34.0,0.6,56.67,n/a,58,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",Electrical and optical connectivity silicon for AI data-center networks; already strongly discovered.
93,ADI,Analog Devices,US,United States,NASDAQ,"Analog/mixed-signal, power, RF",Analog / power,45.3,194.15,9.5,20.44,n/a,26,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",High-quality analog cash flows; exposure to industrial/auto/data-center power.
94,LITE,Lumentum,US,United States,NASDAQ,High-power lasers and ELS/CPO light sources,Photonics / CPO,44.7,83.4,1.6,52.12,949.93 USD,35,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",ELSFP-350 is marketed as a high-power external light-source module for CPO systems in AI/cloud data centers.
95,000660.KS,SK hynix,Non-US,South Korea,KRX,HBM/DRAM/NAND memory,HBM / memory,44.5,619.05,70.0,8.84,n/a,25,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",HBM leader levered to AI accelerators; customer concentration/cycle risk.
96,ASML,ASML Holding,Non-US,Netherlands,NASDAQ/Euronext,EUV/DUV lithography systems,Wafer equipment,41.2,549.99,37.67,14.6,"1,422.30 USD",92,"Lower alpha in this framework: likely discovered, less directly levered to CPO/AI, or materially risky.",EUV monopoly-like position in leading-edge lithography; discovered but mission-critical.
